dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[446, 836]","[3455, 3455]",0.5,0.758
EEGRat,[1000],"[735, 1089, 1427]","[1999, 1999, 1999]",0.333,0.654
EEGRat2,[1000],"[252, 524, 985, 1228]","[1999, 1999, 1999, 1999]",0.571,0.616
FaceFour,"[2800, 5600, 6650]","[531, 1059, 2876, 3404, 4005, 5650, 6566, 7157, 7685]","[8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399]",0.571,0.583
GrandMalSeizures2,[4550],"[1446, 1928, 2408, 2914, 3423, 4137, 4617, 5195, 5744]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999]",0.333,0.588
GreatBarbet1,"[1900, 3700]","[1276, 1881, 2304, 2582, 2858, 3233, 3690, 3977, 4264]","[4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699]",0.462,0.461
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]","[1163, 1947, 2383]","[4820, 4820, 4820]",0.286,0.744
InsectEPG1,[3802],"[694, 1267, 1772, 2276, 2780, 3322, 3835, 4386, 4901, 5411, 6809, 7930, 8900, 9745, 11820, 12783, 13371, 15229, 15942]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 10609, 12799, 13414, 14294, 16144, 16509]",0.182,0.163
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[128, 581, 895, 1147, 1523, 1679, 1843, 2038, 2158, 2278, 2403, 2590, 2760, 2919, 3185, 4041, 4243, 4407, 4527, 4647]","[4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.5,0.54
NogunGun,[3000],"[468, 1472, 2026, 3065, 3729, 4355, 5763, 6741]","[7382, 7382, 7382, 7382, 7382, 7382, 7382, 7382]",0.364,0.327
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[264, 1690, 1972, 2236, 2533, 2832, 3096, 3426, 3939, 4203, 4471, 4785, 5049, 5320, 8154, 8456, 8770, 9036, 9359, 9622, 9886, 10265, 10572, 10836, 11173, 11735, 12020]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 10364, 10384, 10774, 10864, 11264, 11714, 12284, 12339]",0.294,0.37
ShapesAll,"[1280, 2560, 3840, 5120]","[351, 828, 1315, 1683, 2549, 3809, 4157, 4653, 5087, 5435]","[6399, 6399, 6399, 6399, 6399, 6399, 6399, 6399, 6399, 6399]",0.625,0.632
TiltECG,[25000],"[480, 2365, 3940, 5497, 6421, 7018, 7980, 12364, 15850, 17556, 19721, 20201, 21025, 22075, 22833, 23678, 24158, 24842, 25383, 26022, 27552, 28125, 28723, 29235, 31480, 32215, 32699, 33179, 33853, 34508, 35009, 35968]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 17699, 19819, 20504, 20874, 21244, 21944, 22899, 23799, 24279, 24854, 25494, 26489, 28379, 28719, 28974, 29424, 29829, 32364, 32899, 33529, 34184, 34679, 35054, 36034, 37439]",0.114,0.21
ToeSegmentation1,[1385],"[277, 548, 788, 1111, 1456, 1696, 1958, 2229]","[2769, 2769, 2769, 2769, 2769, 2769, 2769, 2769]",0.182,0.312
ToeSegmentation2,[1543],"[296, 1001, 1364, 1679, 2072, 2448, 2736]","[3085, 3085, 3085, 3085, 3085, 3085, 3085]",0.2,0.356
Trace,"[1443, 2955]","[459, 855, 1443, 2955, 3255, 3555]","[5085, 5085, 5085, 5085, 5085, 5085]",0.6,0.714
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[120, 257, 584, 704, 1120, 1243, 1400, 1610, 2235, 2359]","[2817, 2817, 2817, 2817, 2817, 2817, 2817, 2817, 2817, 2817]",0.375,0.667
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[627, 1127, 1665, 1785, 2034, 2199, 2327]","[2817, 2817, 2817, 2817, 2817, 2817, 2817]",0.769,0.823
WordSynonyms,"[202, 2227]","[256, 973, 1343, 1590, 1894]","[2394, 2394, 2394, 2394, 2394]",0.222,0.389
Yoga,[7295],"[443, 635, 829, 7390, 8427, 9012, 9243, 9442, 9719, 9910, 10131, 10326, 11682, 11888, 12111, 12304, 12496, 13456, 13677, 13869, 14068, 14260, 14477, 14672, 14867, 15444]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 10234, 10344, 10604, 11909, 12099, 12329, 12519, 12709, 13824, 13889, 14084, 14279, 14474, 14689, 14959, 15104, 15879]",0.138,0.484
