dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[446],[3455],0.667,0.871
EEGRat,[1000],"[1122, 1458]","[1999, 1999]",0.4,0.717
EEGRat2,[1000],"[252, 524, 985, 1228]","[1999, 1999, 1999, 1999]",0.571,0.616
FaceFour,"[2800, 5600, 6650]","[531, 1059, 2845, 3384, 5640, 6566, 7157]","[8399, 8399, 8399, 8399, 8399, 8399, 8399]",0.667,0.722
GrandMalSeizures2,[4550],"[1446, 1937, 2920, 3423, 4137, 4617, 5195, 5734]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999]",0.364,0.589
GreatBarbet1,"[1900, 3700]","[1886, 2304, 2580, 2856, 3233, 3690, 4204]","[4699, 4699, 4699, 4699, 4699, 4699, 4699]",0.545,0.605
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]","[1163, 1947, 2391]","[4820, 4820, 4820]",0.286,0.745
InsectEPG1,[3802],"[694, 2167, 3832, 4386, 4901, 5415, 6809, 8004, 8882, 9761, 11819, 12783, 13469, 14281]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 10799, 13484, 14224, 15259, 16074]",0.235,0.255
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[581, 1147, 1540, 2039, 2374, 2494, 2614, 2760, 2919, 3185, 4041, 4223, 4408, 4528]","[4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.636,0.691
NogunGun,[3000],"[699, 3065, 4401, 5764, 6741]","[7382, 7382, 7382, 7382, 7382]",0.5,0.49
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[264, 1690, 2030, 4125, 4396, 4678, 4970, 8112, 10218]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 11149]",0.5,0.752
ShapesAll,"[1280, 2560, 3840, 5120]","[351, 1315, 2549, 3809, 4157, 4655, 5087, 5435]","[6399, 6399, 6399, 6399, 6399, 6399, 6399, 6399]",0.714,0.756
TiltECG,[25000],"[480, 6524, 10952, 12284, 14809, 16944, 24788, 26289, 27512]","[9999, 10729, 13504, 14764, 22304, 24814, 26874, 27629, 28409]",0.333,0.508
ToeSegmentation1,[1385],"[277, 548, 788, 1111, 1456, 1696]","[2769, 2769, 2769, 2769, 2769, 2769]",0.222,0.504
ToeSegmentation2,[1543],"[296, 1365, 1679, 2267]","[3085, 3085, 3085, 3085]",0.286,0.612
Trace,"[1443, 2955]","[459, 1443, 2818, 3188, 3606]","[5085, 5085, 5085, 5085, 5085]",0.444,0.755
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[251, 584, 704, 1120, 1243, 2231, 2364]","[2817, 2817, 2817, 2817, 2817, 2817, 2817]",0.462,0.601
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[627, 1131, 1665, 2014, 2199]","[2817, 2817, 2817, 2817, 2817]",0.909,0.906
WordSynonyms,"[202, 2227]","[425, 976, 1366, 1660]","[2394, 2394, 2394, 2394]",0.25,0.286
Yoga,[7295],"[443, 635, 7336]","[9999, 9999, 11234]",0.667,0.955
