dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],[],[],0.667,0.5
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]",[],[],0.4,0.281
GrandMalSeizures2,[4550],[],[],0.667,0.508
GreatBarbet1,"[1900, 3700]","[3694, 1881, 3433, 2531, 2131, 3944, 2781, 3176, 4194, 1588]","[4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699]",0.429,0.531
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[3602, 3852, 4878, 4174, 4612, 5128, 5387, 6904, 7405, 5637, 3153, 6653, 5887, 7154, 7695, 2890, 6164, 7945, 8195, 8509, 2323, 8803, 2639, 2054, 11080, 12085, 13649, 14214, 14712]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 10322, 11379, 12384, 13948, 14513, 15059]",0.125,0.255
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[2585, 2009, 2635, 2059, 2685, 2110, 2534, 2237, 2180, 2737, 2287]","[4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.316,0.356
NogunGun,[3000],"[2965, 4275]","[7382, 7382]",0.8,0.823
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[8090, 8233, 8333, 7989, 8442, 7874, 10319, 8546, 10508, 10730, 11059, 11266, 11367, 4101, 10626]","[9999, 9999, 9999, 9999, 9999, 9999, 10438, 10499, 10627, 10849, 11180, 11385, 11486, 11578, 12048]",0.364,0.555
ShapesAll,"[1280, 2560, 3840, 5120]","[5112, 5166, 5226, 1248, 5061, 5276, 1298, 5347, 5010, 3840, 1348]","[6399, 6399, 6399, 6399, 6399, 6399, 6399, 6399, 6399, 6399, 6399]",0.471,0.74
TiltECG,[25000],"[6949, 19024, 24165, 25721, 32584]","[12451, 20817, 25364, 26920, 33783]",0.25,0.487
ToeSegmentation1,[1385],[],[],0.667,0.5
ToeSegmentation2,[1543],[],[],0.667,0.5
Trace,"[1443, 2955]","[1392, 1642, 1892, 2164]","[5085, 5085, 5085, 5085]",0.25,0.644
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[1129],[2817],0.571,0.402
WordSynonyms,"[202, 2227]","[2218, 2268, 2318]","[2394, 2394, 2394]",0.571,0.805
Yoga,[7295],[11598],[11657],0.5,0.561
