dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[116, 236, 552, 681, 821, 969, 1253, 1684, 2124, 2403, 2547, 2845, 3430, 3438]","[115, 235, 551, 680, 820, 968, 1252, 1683, 2123, 2402, 2546, 2844, 3429, 3437]",0.125,0.169
EEGRat,[1000],"[866, 1120, 1137, 1160]","[865, 1119, 1136, 1159]",0.286,0.853
EEGRat2,[1000],"[160, 231, 252, 275, 288, 1250, 1292, 1298, 1306, 1316, 1752, 1760, 1777, 1797, 1816, 1831]","[159, 230, 251, 274, 287, 1249, 1291, 1297, 1305, 1315, 1751, 1759, 1776, 1796, 1815, 1830]",0.105,0.503
FaceFour,"[2800, 5600, 6650]","[1186, 3359, 4063, 4071, 5827, 6430]","[1185, 3358, 4062, 4070, 5826, 6429]",0.182,0.585
GrandMalSeizures2,[4550],[],[],0.667,0.508
GreatBarbet1,"[1900, 3700]","[1144, 2000, 2012, 2021, 2041, 2073, 2083, 2303, 2316, 2334, 2346, 2361, 2391, 2409, 2422, 2433, 2439, 2452, 2468, 2479, 2500, 2513, 2526, 2556, 2917, 2925, 2953, 2970, 2986, 2996]","[1143, 1999, 2011, 2020, 2040, 2072, 2082, 2302, 2315, 2333, 2345, 2360, 2390, 2408, 2421, 2432, 2438, 2451, 2467, 2478, 2499, 2512, 2525, 2555, 2916, 2924, 2952, 2969, 2985, 2995]",0.059,0.465
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[4201],[4200],0.4,0.325
InsectEPG1,[3802],[204],[203],0.5,0.657
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[1973, 2140, 2147, 2163, 2200, 2212, 2236, 2248, 2272, 2284, 2295, 2308, 2319, 2332, 2342, 2355, 2366, 2373, 2379, 2387, 2403, 2409, 2415, 2427, 2434, 2450, 2457, 2463, 2469, 2475, 2487, 2493, 2510, 2516, 2522, 2528, 2535, 2541, 2547, 2558, 2564, 2576, 2582, 2593, 2607, 2613, 2619, 2626, 2642, 2650, 2661, 2667, 2673, 2685, 2703, 2709, 2715, 2722, 2734, 2745, 2763, 2769, 2781, 2793, 2806, 2816, 2822, 2829, 2853, 2865, 2876, 2887, 2893, 2901, 2913, 2937, 2948, 2972]","[1972, 2139, 2146, 2162, 2199, 2211, 2235, 2247, 2271, 2283, 2294, 2307, 2318, 2331, 2341, 2354, 2365, 2372, 2378, 2386, 2402, 2408, 2414, 2426, 2433, 2449, 2456, 2462, 2468, 2474, 2486, 2492, 2509, 2515, 2521, 2527, 2534, 2540, 2546, 2557, 2563, 2575, 2581, 2592, 2606, 2612, 2618, 2625, 2641, 2649, 2660, 2666, 2672, 2684, 2702, 2708, 2714, 2721, 2733, 2744, 2762, 2768, 2780, 2792, 2805, 2815, 2821, 2828, 2852, 2864, 2875, 2886, 2892, 2900, 2912, 2936, 2947, 2971]",0.07,0.333
NogunGun,[3000],"[372, 1722]","[371, 1721]",0.4,0.642
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[120, 157]","[119, 156]",0.222,0.169
ShapesAll,"[1280, 2560, 3840, 5120]",[3416],[3415],0.286,0.366
TiltECG,[25000],[],[],0.667,0.531
ToeSegmentation1,[1385],"[127, 148, 490, 1618, 1626, 1649, 1824, 1850, 1875, 1883, 1906, 1912, 2698, 2708, 2724]","[126, 147, 489, 1617, 1625, 1648, 1823, 1849, 1874, 1882, 1905, 1911, 2697, 2707, 2723]",0.111,0.56
ToeSegmentation2,[1543],[118],[117],0.5,0.491
Trace,"[1443, 2955]",[],[],0.5,0.344
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[1468, 1482, 1537, 1590, 1625, 1644, 1665, 1680, 1693, 1708, 1721, 1729, 1762, 1776, 1789, 1800, 1806, 1813, 1821, 1827, 1834]","[1467, 1481, 1536, 1589, 1624, 1643, 1664, 1679, 1692, 1707, 1720, 1728, 1761, 1775, 1788, 1799, 1805, 1812, 1820, 1826, 1833]",0.148,0.393
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[882, 896]","[881, 895]",0.25,0.368
WordSynonyms,"[202, 2227]","[215, 223, 298, 326, 336, 389, 395, 403, 560, 576, 588, 994, 1000]","[214, 222, 297, 325, 335, 388, 394, 402, 559, 575, 587, 993, 999]",0.235,0.561
Yoga,[7295],"[124, 152, 160, 182, 193, 2120, 9416, 9425, 11275]","[123, 151, 159, 181, 192, 2119, 9415, 9424, 11274]",0.167,0.545
