dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[1, 7, 13, 20, 107, 119, 387, 400, 406, 412, 543, 561, 567, 680, 704, 852, 860, 971, 985, 1052, 1058, 1254, 1277, 1295, 1436, 1446, 1545, 1580, 1683, 1832, 1871, 1974, 2011, 2124, 2135, 2143, 2207, 2213, 2412, 2418, 2480, 2687, 2711, 2736, 2849, 2973, 3022, 3060, 3074, 3272, 3278, 3298, 3442, 3449]","[0, 6, 12, 19, 106, 118, 386, 399, 405, 411, 542, 560, 566, 679, 703, 851, 859, 970, 984, 1051, 1057, 1253, 1276, 1294, 1435, 1445, 1544, 1579, 1682, 1831, 1870, 1973, 2010, 2123, 2134, 2142, 2206, 2212, 2411, 2417, 2479, 2686, 2710, 2735, 2848, 2972, 3021, 3059, 3073, 3271, 3277, 3297, 3441, 3448]",0.036,0.078
EEGRat,[1000],"[1, 10, 19, 25, 31, 54, 123, 144, 204, 360, 374, 466, 478, 484, 622, 628, 709, 725, 766, 867, 873, 982, 988, 1160, 1230, 1252, 1289, 1329, 1368, 1450, 1472, 1514, 1555, 1576, 1619, 1684, 1706, 1768, 1789, 1851, 1872, 1915, 1960]","[0, 9, 18, 24, 30, 53, 122, 143, 203, 359, 373, 465, 477, 483, 621, 627, 708, 724, 765, 866, 872, 981, 987, 1159, 1229, 1251, 1288, 1328, 1367, 1449, 1471, 1513, 1554, 1575, 1618, 1683, 1705, 1767, 1788, 1850, 1871, 1914, 1959]",0.087,0.157
EEGRat2,[1000],"[1, 16, 60, 105, 160, 230, 252, 289, 329, 368, 450, 472, 514, 555, 576, 619, 684, 706, 768, 789, 851, 872, 915, 960, 1009, 1076, 1112, 1186, 1234, 1249, 1292, 1321, 1397, 1466, 1501, 1535, 1617, 1706, 1752, 1778, 1803, 1833, 1859, 1878, 1913, 1953]","[0, 15, 59, 104, 159, 229, 251, 288, 328, 367, 449, 471, 513, 554, 575, 618, 683, 705, 767, 788, 850, 871, 914, 959, 1008, 1075, 1111, 1185, 1233, 1248, 1291, 1320, 1396, 1465, 1500, 1534, 1616, 1705, 1751, 1777, 1802, 1832, 1858, 1877, 1912, 1952]",0.082,0.086
FaceFour,"[2800, 5600, 6650]","[1, 55, 214, 229, 244, 262, 590, 596, 617, 917, 947, 953, 970, 1011, 1266, 1280, 1298, 1315, 1395, 1615, 1630, 1649, 1665, 1708, 1751, 1969, 1984, 2022, 2066, 2316, 2322, 2333, 2350, 2370, 2665, 2680, 2694, 2713, 2758, 2852, 3024, 3041, 3075, 3161, 3376, 3423, 3486, 3501, 3629, 3724, 3738, 3757, 3773, 3795, 3864, 4077, 4127, 4202, 4252, 4333, 4419, 4431, 4482, 4603, 4670, 4776, 4791, 4827, 4851, 5125, 5138, 5210, 5237, 5249, 5473, 5523, 5548, 5650, 5667, 5825, 5847, 5853, 5954, 5995, 6175, 6198, 6233, 6287, 6503, 6529, 6543, 6558, 6585, 6649, 6704, 6867, 6881, 6904, 6919, 7052, 7219, 7236, 7262, 7272, 7352, 7400, 7560, 7575, 7615, 7685, 7754, 7923, 7946, 7959, 7965, 8010, 8101, 8266, 8279, 8304, 8318, 8399]","[0, 54, 213, 228, 243, 261, 589, 595, 616, 916, 946, 952, 969, 1010, 1265, 1279, 1297, 1314, 1394, 1614, 1629, 1648, 1664, 1707, 1750, 1968, 1983, 2021, 2065, 2315, 2321, 2332, 2349, 2369, 2664, 2679, 2693, 2712, 2757, 2851, 3023, 3040, 3074, 3160, 3375, 3422, 3485, 3500, 3628, 3723, 3737, 3756, 3772, 3794, 3863, 4076, 4126, 4201, 4251, 4332, 4418, 4430, 4481, 4602, 4669, 4775, 4790, 4826, 4850, 5124, 5137, 5209, 5236, 5248, 5472, 5522, 5547, 5649, 5666, 5824, 5846, 5852, 5953, 5994, 6174, 6197, 6232, 6286, 6502, 6528, 6542, 6557, 6584, 6648, 6703, 6866, 6880, 6903, 6918, 7051, 7218, 7235, 7261, 7271, 7351, 7399, 7559, 7574, 7614, 7684, 7753, 7922, 7945, 7958, 7964, 8009, 8100, 8265, 8278, 8303, 8317, 8398]",0.063,0.118
GrandMalSeizures2,[4550],"[1, 7, 14, 32, 38, 49, 67, 101, 167, 193, 217, 235, 348, 391, 404, 435, 452, 502, 513, 527, 554, 570, 640, 664, 691, 733, 748, 760, 799, 807, 822, 842, 907, 924, 939, 947, 995, 1053, 1077, 1144, 1167, 1174, 1214, 1225, 1235, 1266, 1278, 1321, 1383, 1390, 1435, 1443, 1469, 1482, 1497, 1531, 1551, 1574, 1590, 1596, 1623, 1634, 1649, 1719, 1753, 1774, 1790, 1833, 1868, 1929, 1935, 1993, 2000, 2056, 2108, 2123, 2197, 2259, 2293, 2382, 2389, 2410, 2438, 2532, 2561, 2629, 2663, 2691, 2697, 2726, 2830, 2840, 2847, 2883, 2889, 2906, 3009, 3052, 3075, 3144, 3174, 3217, 3252, 3265, 3320, 3391, 3442, 3467, 3473, 3579, 3624, 3633, 3665, 3671, 3817, 3869, 3875, 3901, 3924, 3972, 4065, 4129, 4181, 4187, 4201, 4261, 4267, 4330, 4392, 4458, 4556, 4563, 4782, 4834, 4890, 4922, 5081, 5087, 5187, 5201, 5292, 5332, 5383, 5420, 5536, 5543, 5564, 5588, 5671, 5714, 5754, 5793, 5844, 5887, 5952, 5967, 6072, 6098, 6181, 6258, 6353, 6426, 6451, 6515, 6599, 6612, 6632, 6691, 6722, 6805, 6811, 6918, 6924, 6951, 7037, 7178, 7203, 7225, 7366, 7401, 7408, 7462, 7568, 7611, 7662, 7759, 7765, 7887, 7961, 7975, 7986, 8201, 8212, 8334, 8354, 8370, 8379, 8480, 8596, 8683, 8753, 8802, 8870, 8893, 9052, 9116, 9198, 9277, 9337, 9343, 9483, 9489, 9523, 9581, 9708, 9747, 9794, 9836, 9911, 9917, 9939, 9972, 9978, 10015, 10218, 10234, 10240, 10260, 10406, 10419]","[0, 6, 13, 31, 37, 48, 66, 100, 166, 192, 216, 234, 347, 390, 403, 434, 451, 501, 512, 526, 553, 569, 639, 663, 690, 732, 747, 759, 798, 806, 821, 841, 906, 923, 938, 946, 994, 1052, 1076, 1143, 1166, 1173, 1213, 1224, 1234, 1265, 1277, 1320, 1382, 1389, 1434, 1442, 1468, 1481, 1496, 1530, 1550, 1573, 1589, 1595, 1622, 1633, 1648, 1718, 1752, 1773, 1789, 1832, 1867, 1928, 1934, 1992, 1999, 2055, 2107, 2122, 2196, 2258, 2292, 2381, 2388, 2409, 2437, 2531, 2560, 2628, 2662, 2690, 2696, 2725, 2829, 2839, 2846, 2882, 2888, 2905, 3008, 3051, 3074, 3143, 3173, 3216, 3251, 3264, 3319, 3390, 3441, 3466, 3472, 3578, 3623, 3632, 3664, 3670, 3816, 3868, 3874, 3900, 3923, 3971, 4064, 4128, 4180, 4186, 4200, 4260, 4266, 4329, 4391, 4457, 4555, 4562, 4781, 4833, 4889, 4921, 5080, 5086, 5186, 5200, 5291, 5331, 5382, 5419, 5535, 5542, 5563, 5587, 5670, 5713, 5753, 5792, 5843, 5886, 5951, 5966, 6071, 6097, 6180, 6257, 6352, 6425, 6450, 6514, 6598, 6611, 6631, 6690, 6721, 6804, 6810, 6917, 6923, 6950, 7036, 7177, 7202, 7224, 7365, 7400, 7407, 7461, 7567, 7610, 7661, 7758, 7764, 7886, 7960, 7974, 7985, 8200, 8211, 8333, 8353, 8369, 8378, 8479, 8595, 8682, 8752, 8801, 8869, 8892, 9051, 9115, 9197, 9276, 9336, 9342, 9482, 9488, 9522, 9580, 9707, 9746, 9793, 9835, 9910, 9916, 9938, 9971, 9977, 10014, 10217, 10233, 10239, 10259, 10405, 10418]",0.017,0.035
GreatBarbet1,"[1900, 3700]","[1, 7, 126, 192, 397, 495, 593, 599, 861, 889, 1054, 1149, 1155, 1214, 1383, 1430, 1436, 1553, 1626, 1674, 1716, 1722, 1876, 1882, 2011, 2042, 2122, 2178, 2314, 2364, 2396, 2457, 2532, 2561, 2622, 2684, 2705, 2791, 2797, 2897, 2973, 3001, 3078, 3139, 3189, 3274, 3345, 3354, 3416, 3437, 3469, 3529, 3538, 3566, 3653, 3705, 3772, 3792, 3905, 4097, 4129, 4234, 4252, 4289, 4309, 4340, 4369, 4388, 4435, 4463, 4503, 4602, 4638, 4657, 4674]","[0, 6, 125, 191, 396, 494, 592, 598, 860, 888, 1053, 1148, 1154, 1213, 1382, 1429, 1435, 1552, 1625, 1673, 1715, 1721, 1875, 1881, 2010, 2041, 2121, 2177, 2313, 2363, 2395, 2456, 2531, 2560, 2621, 2683, 2704, 2790, 2796, 2896, 2972, 3000, 3077, 3138, 3188, 3273, 3344, 3353, 3415, 3436, 3468, 3528, 3537, 3565, 3652, 3704, 3771, 3791, 3904, 4096, 4128, 4233, 4251, 4288, 4308, 4339, 4368, 4387, 4434, 4462, 4502, 4601, 4637, 4656, 4673]",0.076,0.126
Herring,[],"[1, 57, 381, 1406]","[0, 56, 380, 1405]",0.333,0.718
InlineSkate,"[1058, 2704]","[1, 7, 13, 65, 71, 225, 231, 532, 667, 783, 901, 1044, 1058, 1124, 1239, 1245, 1360, 1366, 1479, 1485, 1714, 1720, 1833, 1947, 1953, 2068, 2074, 2230, 2303, 2430, 2436, 2541, 2690, 2696, 2892, 2898, 3043, 3049, 3147, 3240, 3362, 3514, 3520, 3603, 3747, 3753, 3834, 3952, 3967, 4071, 4204, 4210, 4302, 4418, 4437, 4541, 4663, 4669, 4775]","[0, 6, 12, 64, 70, 224, 230, 531, 666, 782, 900, 1043, 1057, 1123, 1238, 1244, 1359, 1365, 1478, 1484, 1713, 1719, 1832, 1946, 1952, 2067, 2073, 2229, 2302, 2429, 2435, 2540, 2689, 2695, 2891, 2897, 3042, 3048, 3146, 3239, 3361, 3513, 3519, 3602, 3746, 3752, 3833, 3951, 3966, 4070, 4203, 4209, 4301, 4417, 4436, 4540, 4662, 4668, 4774]",0.095,0.149
InsectEPG1,[3802],"[1, 9, 146, 175, 241, 281, 300, 342, 349, 406, 457, 465, 472, 561, 583, 671, 679, 725, 784, 791, 811, 817, 848, 859, 908, 938, 968, 1031, 1120, 1138, 1168, 1190, 1201, 1218, 1250, 1268, 1279, 1297, 1332, 1346, 1357, 1372, 1406, 1431, 1483, 1556, 1589, 1607, 1647, 1661, 1668, 1703, 1709, 1744, 1767, 1773, 1800, 1809, 1838, 1845, 1875, 1949, 2005, 2069, 2119, 2167, 2175, 2208, 2215, 2300, 2330, 2342, 2352, 2364, 2379, 2385, 2409, 2421, 2472, 2511, 2526, 2533, 2539, 2683, 2705, 2746, 2805, 2817, 2878, 2893, 2940, 2948, 2985, 3000, 3056, 3119, 3146, 3152, 3175, 3200, 3271, 3295, 3319, 3325, 3496, 3580, 3599, 3610, 3621, 3636, 3646, 3652, 3701, 3870, 3909, 4005, 4056, 4165, 4189, 4255, 4344, 4362, 4392, 4452, 4496, 4556, 4585, 4600, 4643, 4672, 4757, 4848, 4863, 4952, 4998, 5136, 5201, 5280, 5366, 5388, 5414, 5478, 5544, 5585, 5600, 5705, 5721, 5813, 5825, 6031, 6096, 6115, 6190, 6370, 6387, 6459, 6563, 6631, 6646, 6716, 6773, 6811, 6918, 6987, 7045, 7078, 7114, 7146, 7202, 7222, 7228, 7266, 7412, 7445, 7502, 7537, 7628, 7661, 7672, 7690, 7762, 7865, 7893, 7900, 7930, 8005, 8070, 8117, 8156, 8164, 8234, 8244, 8307, 8327, 8351, 8450, 8474, 8527, 8575, 8617, 8637, 8691, 8719, 8808, 8861, 8898, 8937, 8992, 9043, 9072, 9168, 9233, 9252, 9327, 9370, 9476, 9506, 9581, 9590, 9647, 9713, 9751, 9782, 9878, 9927, 9960, 10022, 10073, 10218, 10239, 10272, 10290, 10402, 10454, 10506, 10546, 10552, 10633, 10698, 10749, 10798, 10861, 10947, 10975, 11048, 11078, 11111, 11204, 11258, 11309, 11341, 11360, 11388, 11470, 11556, 11586, 11620, 11686, 11736, 11811, 11849, 11900, 11934, 12059, 12083, 12114, 12185, 12232, 12298, 12354, 12432, 12482, 12546, 12562, 12595, 12615, 12653, 12678, 12701, 12767, 12835, 12851, 12921, 12963, 12976, 13014, 13051, 13154, 13167, 13175, 13246, 13310, 13331, 13370, 13402, 13502, 13538, 13595, 13671, 13729, 13776, 13807, 13824, 13879, 13909, 13935, 13963, 14026, 14052, 14100, 14163, 14185, 14230, 14252, 14284, 14319, 14387, 14453, 14503, 14517, 14545, 14597, 14636, 14726, 14760, 14821, 14885, 14930, 14938, 14995, 15071, 15104, 15148, 15154, 15169, 15175, 15236, 15303, 15342, 15359, 15377, 15395, 15476, 15577, 15656, 15694, 15729, 15765, 15830, 15906, 15958, 15988, 16083, 16150, 16161, 16222, 16287, 16360, 16425, 16505, 16543, 16573, 16618, 16672, 16760, 16839, 16872, 16951]","[0, 8, 145, 174, 240, 280, 299, 341, 348, 405, 456, 464, 471, 560, 582, 670, 678, 724, 783, 790, 810, 816, 847, 858, 907, 937, 967, 1030, 1119, 1137, 1167, 1189, 1200, 1217, 1249, 1267, 1278, 1296, 1331, 1345, 1356, 1371, 1405, 1430, 1482, 1555, 1588, 1606, 1646, 1660, 1667, 1702, 1708, 1743, 1766, 1772, 1799, 1808, 1837, 1844, 1874, 1948, 2004, 2068, 2118, 2166, 2174, 2207, 2214, 2299, 2329, 2341, 2351, 2363, 2378, 2384, 2408, 2420, 2471, 2510, 2525, 2532, 2538, 2682, 2704, 2745, 2804, 2816, 2877, 2892, 2939, 2947, 2984, 2999, 3055, 3118, 3145, 3151, 3174, 3199, 3270, 3294, 3318, 3324, 3495, 3579, 3598, 3609, 3620, 3635, 3645, 3651, 3700, 3869, 3908, 4004, 4055, 4164, 4188, 4254, 4343, 4361, 4391, 4451, 4495, 4555, 4584, 4599, 4642, 4671, 4756, 4847, 4862, 4951, 4997, 5135, 5200, 5279, 5365, 5387, 5413, 5477, 5543, 5584, 5599, 5704, 5720, 5812, 5824, 6030, 6095, 6114, 6189, 6369, 6386, 6458, 6562, 6630, 6645, 6715, 6772, 6810, 6917, 6986, 7044, 7077, 7113, 7145, 7201, 7221, 7227, 7265, 7411, 7444, 7501, 7536, 7627, 7660, 7671, 7689, 7761, 7864, 7892, 7899, 7929, 8004, 8069, 8116, 8155, 8163, 8233, 8243, 8306, 8326, 8350, 8449, 8473, 8526, 8574, 8616, 8636, 8690, 8718, 8807, 8860, 8897, 8936, 8991, 9042, 9071, 9167, 9232, 9251, 9326, 9369, 9475, 9505, 9580, 9589, 9646, 9712, 9750, 9781, 9877, 9926, 9959, 10021, 10072, 10217, 10238, 10271, 10289, 10401, 10453, 10505, 10545, 10551, 10632, 10697, 10748, 10797, 10860, 10946, 10974, 11047, 11077, 11110, 11203, 11257, 11308, 11340, 11359, 11387, 11469, 11555, 11585, 11619, 11685, 11735, 11810, 11848, 11899, 11933, 12058, 12082, 12113, 12184, 12231, 12297, 12353, 12431, 12481, 12545, 12561, 12594, 12614, 12652, 12677, 12700, 12766, 12834, 12850, 12920, 12962, 12975, 13013, 13050, 13153, 13166, 13174, 13245, 13309, 13330, 13369, 13401, 13501, 13537, 13594, 13670, 13728, 13775, 13806, 13823, 13878, 13908, 13934, 13962, 14025, 14051, 14099, 14162, 14184, 14229, 14251, 14283, 14318, 14386, 14452, 14502, 14516, 14544, 14596, 14635, 14725, 14759, 14820, 14884, 14929, 14937, 14994, 15070, 15103, 15147, 15153, 15168, 15174, 15235, 15302, 15341, 15358, 15376, 15394, 15475, 15576, 15655, 15693, 15728, 15764, 15829, 15905, 15957, 15987, 16082, 16149, 16160, 16221, 16286, 16359, 16424, 16504, 16542, 16572, 16617, 16671, 16759, 16838, 16871, 16950]",0.011,0.022
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[1, 21, 652, 676, 784, 892, 953, 976, 1024, 1132, 2104, 2140, 2164, 2248, 2368, 2428, 2452, 2523, 2596, 2656, 2693, 2752, 2811, 2848, 2895, 2920, 2956, 3064, 3108, 3119, 3209, 3232, 3304, 3412, 3495, 3532, 3592, 3628, 3712, 3748, 3796, 3832, 3891, 3939, 4000, 4035, 4156, 4216, 4252, 4384, 4612, 4648, 4708, 4768, 4864]","[0, 20, 651, 675, 783, 891, 952, 975, 1023, 1131, 2103, 2139, 2163, 2247, 2367, 2427, 2451, 2522, 2595, 2655, 2692, 2751, 2810, 2847, 2894, 2919, 2955, 3063, 3107, 3118, 3208, 3231, 3303, 3411, 3494, 3531, 3591, 3627, 3711, 3747, 3795, 3831, 3890, 3938, 3999, 4034, 4155, 4215, 4251, 4383, 4611, 4647, 4707, 4767, 4863]",0.159,0.394
