dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],"[1077, 1422]","[1999, 1999]",0.4,0.753
EEGRat2,[1000],"[269, 1292]","[1999, 1999]",0.4,0.637
FaceFour,"[2800, 5600, 6650]","[535, 2877, 6579]","[8399, 8399, 8399]",0.75,0.735
GrandMalSeizures2,[4550],"[2305, 3000, 3623, 4109, 4589]","[9999, 9999, 9999, 9999, 9999]",0.5,0.781
GreatBarbet1,"[1900, 3700]","[1886, 2430, 3689]","[4699, 4699, 4699]",0.857,0.88
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[3776, 4387, 4896, 7977, 9708, 12017]","[9999, 9999, 9999, 9999, 11209, 16334]",0.444,0.515
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[580, 1147, 2038, 2398, 2589, 3182, 4031]","[4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.933,0.941
NogunGun,[3000],"[3063, 4399]","[7382, 7382]",0.8,0.802
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1690, 4082, 8108, 10220]","[9999, 9999, 9999, 11594]",0.727,0.813
ShapesAll,"[1280, 2560, 3840, 5120]","[353, 1314, 2548, 3809, 5114]","[6399, 6399, 6399, 6399, 6399]",0.909,0.921
TiltECG,[25000],"[480, 24597, 29723]","[9999, 29744, 32914]",0.333,0.86
ToeSegmentation1,[1385],"[413, 685, 1112, 1433]","[2769, 2769, 2769, 2769]",0.286,0.637
ToeSegmentation2,[1543],[1538],[3085],1.0,0.997
Trace,"[1443, 2955]",[1443],[5085],0.8,0.652
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[589, 1120, 2215]","[2817, 2817, 2817]",0.889,0.787
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[606, 1126, 2214]","[2817, 2817, 2817]",0.889,0.794
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
