dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[235, 548, 3109]","[234, 547, 3108]",0.4,0.741
EEGRat,[1000],"[293, 528, 834]","[292, 527, 833]",0.333,0.582
EEGRat2,[1000],"[198, 576, 1095]","[197, 575, 1094]",0.333,0.646
FaceFour,"[2800, 5600, 6650]","[162, 267, 3164, 3424, 3877]","[161, 266, 3163, 3423, 3876]",0.2,0.479
GrandMalSeizures2,[4550],"[121, 246, 424, 544, 740, 2569, 2893, 3253, 3674]","[120, 245, 423, 543, 739, 2568, 2892, 3252, 3673]",0.167,0.666
GreatBarbet1,"[1900, 3700]","[1149, 1356, 1951, 4204]","[1148, 1355, 1950, 4203]",0.25,0.641
Herring,[],"[129, 260, 389, 967]","[128, 259, 388, 966]",0.333,0.806
InlineSkate,"[1058, 2704]","[414, 1620]","[413, 1619]",0.333,0.476
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[117, 706, 2157]","[116, 705, 2156]",0.182,0.369
NogunGun,[3000],[],[],0.667,0.518
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[141, 296, 578, 1098]","[140, 295, 577, 1097]",0.182,0.207
ShapesAll,"[1280, 2560, 3840, 5120]","[129, 386, 775, 1338, 2338, 2627, 3786, 5149, 5300, 5562]","[128, 385, 774, 1337, 2337, 2626, 3785, 5148, 5299, 5561]",0.5,0.732
TiltECG,[25000],[],[],0.667,0.531
ToeSegmentation1,[1385],"[329, 472, 662, 1620]","[328, 471, 661, 1619]",0.286,0.638
ToeSegmentation2,[1543],"[152, 455, 1380]","[151, 454, 1379]",0.333,0.752
Trace,"[1443, 2955]",[224],[223],0.4,0.344
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[368, 1000, 1713, 2289]","[367, 999, 1712, 2288]",0.2,0.697
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[289, 1541, 2289]","[288, 1540, 2288]",0.222,0.565
WordSynonyms,"[202, 2227]","[192, 1677]","[191, 1676]",0.667,0.709
Yoga,[7295],"[175, 354, 3901, 11324]","[174, 353, 3900, 11323]",0.286,0.513
