dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[228, 530, 827, 1094, 3126]","[227, 529, 826, 1093, 3125]",0.286,0.588
EEGRat,[1000],"[271, 806]","[270, 805]",0.4,0.686
EEGRat2,[1000],"[162, 429, 618, 1093]","[161, 428, 617, 1092]",0.286,0.628
FaceFour,"[2800, 5600, 6650]","[154, 267, 570, 1977, 3168, 3872]","[153, 266, 569, 1976, 3167, 3871]",0.182,0.38
GrandMalSeizures2,[4550],"[107, 244, 361, 478, 586, 739, 1590, 2333, 2749, 2892, 3162, 3287, 3472, 3628, 3910, 4254]","[106, 243, 360, 477, 585, 738, 1589, 2332, 2748, 2891, 3161, 3286, 3471, 3627, 3909, 4253]",0.105,0.618
GreatBarbet1,"[1900, 3700]","[1145, 1278, 1973, 4281, 4420, 4554]","[1144, 1277, 1972, 4280, 4419, 4553]",0.2,0.567
Herring,[],"[129, 259, 710, 902, 1104, 1350, 1997, 4945]","[128, 258, 709, 901, 1103, 1349, 1996, 4944]",0.2,0.591
InlineSkate,"[1058, 2704]","[125, 428]","[124, 427]",0.333,0.402
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[117, 442, 778, 1810]","[116, 441, 777, 1809]",0.167,0.339
NogunGun,[3000],[],[],0.667,0.518
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[111, 676]","[110, 675]",0.222,0.205
ShapesAll,"[1280, 2560, 3840, 5120]","[129, 386, 517, 904, 1339, 2338, 2623, 2893, 5146, 5283, 5416, 5549, 5680]","[128, 385, 516, 903, 1338, 2337, 2622, 2892, 5145, 5282, 5415, 5548, 5679]",0.421,0.516
TiltECG,[25000],[],[],0.667,0.531
ToeSegmentation1,[1385],"[329, 471, 604, 1623]","[328, 470, 603, 1622]",0.286,0.655
ToeSegmentation2,[1543],"[151, 319, 1745]","[150, 318, 1744]",0.333,0.785
Trace,"[1443, 2955]","[145, 286, 430, 843, 1264]","[144, 285, 429, 842, 1263]",0.222,0.434
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[328, 655, 1704, 2029, 2314, 2663]","[327, 654, 1703, 2028, 2313, 2662]",0.167,0.529
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[289, 1340]","[288, 1339]",0.25,0.396
WordSynonyms,"[202, 2227]","[188, 328, 1039, 1238]","[187, 327, 1038, 1237]",0.5,0.47
Yoga,[7295],"[112, 250, 356, 6190]","[111, 249, 355, 6189]",0.286,0.847
