dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[234, 818, 1984, 3111]","[233, 817, 1983, 3110]",0.333,0.337
EEGRat,[1000],"[293, 528, 834]","[292, 527, 833]",0.333,0.582
EEGRat2,[1000],"[198, 576, 1095]","[197, 575, 1094]",0.333,0.646
FaceFour,"[2800, 5600, 6650]","[160, 359, 1058, 3173, 3882]","[159, 358, 1057, 3172, 3881]",0.2,0.395
GrandMalSeizures2,[4550],"[112, 246, 424, 544, 740, 2569, 2893, 3253, 3674]","[111, 245, 423, 543, 739, 2568, 2892, 3252, 3673]",0.167,0.666
GreatBarbet1,"[1900, 3700]","[1148, 1270, 1950, 4208]","[1147, 1269, 1949, 4207]",0.25,0.639
Herring,[],"[129, 260, 389, 966, 2764]","[128, 259, 388, 965, 2763]",0.286,0.446
InlineSkate,"[1058, 2704]","[244, 422]","[243, 421]",0.333,0.39
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[117, 706, 2157]","[116, 705, 2156]",0.182,0.369
NogunGun,[3000],[],[],0.667,0.518
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[141, 296, 578, 1097]","[140, 295, 577, 1096]",0.182,0.207
ShapesAll,"[1280, 2560, 3840, 5120]","[129, 386, 774, 1669, 2342, 2631, 5154, 5546]","[128, 385, 773, 1668, 2341, 2630, 5153, 5545]",0.286,0.494
TiltECG,[25000],[],[],0.667,0.531
ToeSegmentation1,[1385],"[329, 471, 661, 1619]","[328, 470, 660, 1618]",0.286,0.639
ToeSegmentation2,[1543],"[152, 455, 1380]","[151, 454, 1379]",0.333,0.752
Trace,"[1443, 2955]","[223, 1264]","[222, 1263]",0.333,0.556
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[368, 960, 1797]","[367, 959, 1796]",0.222,0.536
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[289, 1541, 2289]","[288, 1540, 2288]",0.222,0.565
WordSynonyms,"[202, 2227]","[192, 1677]","[191, 1676]",0.667,0.709
Yoga,[7295],"[174, 1079, 11034]","[173, 1078, 11033]",0.333,0.567
