dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[1, 7, 13, 1051, 1057, 1290, 1298, 1580, 2185, 2423, 2463, 2469, 2737, 2747, 3088, 3275, 3281, 3338, 3344]","[0, 6, 12, 1050, 1056, 1289, 1297, 1579, 2184, 2422, 2462, 2468, 2736, 2746, 3087, 3274, 3280, 3337, 3343]",0.095,0.3
EEGRat,[1000],"[1, 7, 13, 1032, 1038, 1060, 1123, 1129, 1159, 1251, 1258, 1290, 1513, 2000]","[0, 6, 12, 1031, 1037, 1059, 1122, 1128, 1158, 1250, 1257, 1289, 1512, 1999]",0.118,0.722
EEGRat2,[1000],"[1, 7, 15, 32, 38, 60, 1001, 1129, 1485, 1491, 1561, 1752, 1777, 1802, 1808]","[0, 6, 14, 31, 37, 59, 1000, 1128, 1484, 1490, 1560, 1751, 1776, 1801, 1807]",0.222,0.648
FaceFour,"[2800, 5600, 6650]","[1, 7, 610, 616, 623, 976, 983, 1037, 1043, 1324, 1391, 1397, 1409, 1415, 2018, 2032, 2328, 2344, 2378, 2384, 2440, 2446, 2802, 3081, 3140, 3148, 3493, 3499, 3752, 3792, 3798, 3805, 4191, 4198, 4492, 4676, 4785, 4791, 4847, 4909, 4915, 5243, 5251, 5543, 5647, 5663, 5860, 5868, 5951, 5957, 5993, 6001, 6239, 6304, 6555, 6563, 6569, 6581, 6587, 6595, 6641, 6647, 6927, 7279, 7568, 7574, 7623, 7629, 7968, 7974, 8048, 8060, 8066, 8326, 8340, 8346, 8397]","[0, 6, 609, 615, 622, 975, 982, 1036, 1042, 1323, 1390, 1396, 1408, 1414, 2017, 2031, 2327, 2343, 2377, 2383, 2439, 2445, 2801, 3080, 3139, 3147, 3492, 3498, 3751, 3791, 3797, 3804, 4190, 4197, 4491, 4675, 4784, 4790, 4846, 4908, 4914, 5242, 5250, 5542, 5646, 5662, 5859, 5867, 5950, 5956, 5992, 6000, 6238, 6303, 6554, 6562, 6568, 6580, 6586, 6594, 6640, 6646, 6926, 7278, 7567, 7573, 7622, 7628, 7967, 7973, 8047, 8059, 8065, 8325, 8339, 8345, 8396]",0.098,0.19
GrandMalSeizures2,[4550],"[1, 7, 13, 1145, 2062, 2068, 2098, 2260, 2266, 2292, 2560, 2566, 2766, 3067, 3073, 3136, 3214, 3468, 3507, 3578, 3622, 3709, 3956, 4267, 4396, 4449, 4456, 4462, 4468, 4520, 4782, 4788, 5249, 5269, 5290, 5518, 5538, 5549, 5557, 5563, 5763, 5788, 5810, 6039, 6045, 6257, 6382, 6388, 6453, 6805, 6812, 6818, 6826, 6832, 7058, 7200, 7206, 7398, 7782, 7788, 7798, 7953, 8200, 8378, 8569, 8575, 8587, 8597, 8603, 8764, 9168, 9175, 9277, 9427, 9433, 9626, 9747, 9911, 9917, 9923, 9930, 9936, 10226, 10239, 10245]","[0, 6, 12, 1144, 2061, 2067, 2097, 2259, 2265, 2291, 2559, 2565, 2765, 3066, 3072, 3135, 3213, 3467, 3506, 3577, 3621, 3708, 3955, 4266, 4395, 4448, 4455, 4461, 4467, 4519, 4781, 4787, 5248, 5268, 5289, 5517, 5537, 5548, 5556, 5562, 5762, 5787, 5809, 6038, 6044, 6256, 6381, 6387, 6452, 6804, 6811, 6817, 6825, 6831, 7057, 7199, 7205, 7397, 7781, 7787, 7797, 7952, 8199, 8377, 8568, 8574, 8586, 8596, 8602, 8763, 9167, 9174, 9276, 9426, 9432, 9625, 9746, 9910, 9916, 9922, 9929, 9935, 10225, 10238, 10244]",0.045,0.153
GreatBarbet1,"[1900, 3700]","[1, 7, 1211, 1261, 1267, 1382, 1388, 1506, 1512, 1624, 1830, 1836, 1912, 1918, 2093, 2367, 2611, 2824, 3098, 3104, 3229, 3405, 3436, 3442, 3528, 3534, 3590, 3596, 4652]","[0, 6, 1210, 1260, 1266, 1381, 1387, 1505, 1511, 1623, 1829, 1835, 1911, 1917, 2092, 2366, 2610, 2823, 3097, 3103, 3228, 3404, 3435, 3441, 3527, 3533, 3589, 3595, 4651]",0.121,0.498
Herring,[],"[1, 7, 1281, 1602, 1608, 1728, 1982, 2136, 2497, 2503, 3135, 3393, 3417, 3521, 3527, 3648, 3654, 3904, 4162, 4289, 4926]","[0, 6, 1280, 1601, 1607, 1727, 1981, 2135, 2496, 2502, 3134, 3392, 3416, 3520, 3526, 3647, 3653, 3903, 4161, 4288, 4925]",0.087,0.255
InlineSkate,"[1058, 2704]","[1, 7, 119, 236, 242, 354, 360, 471, 942, 948, 1055, 1061, 1713, 1831, 1882, 1888, 1947, 2000, 2006, 2067, 2229, 2235, 2241, 2705, 2711, 2891, 3058, 3064, 3360, 3518, 3528, 3534, 3763, 4234, 4240, 4540, 4677]","[0, 6, 118, 235, 241, 353, 359, 470, 941, 947, 1054, 1060, 1712, 1830, 1881, 1887, 1946, 1999, 2005, 2066, 2228, 2234, 2240, 2704, 2710, 2890, 3057, 3063, 3359, 3517, 3527, 3533, 3762, 4233, 4239, 4539, 4676]",0.146,0.331
InsectEPG1,[3802],"[1, 7, 1770, 1844, 2421, 2507, 2534, 3155, 3200, 3301, 3315, 3321, 4393, 4983, 4989, 5014, 5199, 5248, 5294, 5386, 5572, 5688, 5732, 5794, 5842, 5922, 5951, 6415, 6447, 6714, 6720, 6730, 6736, 6812, 6920, 6926, 7063, 7070, 7220, 7362, 7546, 7605, 7764, 7928, 7934, 7956, 7979, 7985, 8279, 8285, 8325, 8331, 8403, 8547, 8596, 8637, 8789, 8795, 9046, 9052, 9092, 9098, 9351, 9357, 9611, 9617, 9688, 9897, 9903, 9929, 9935, 10159, 10403, 10412, 10536, 10542, 10720, 10726, 10882, 10915, 10950, 11246, 11257, 11327, 11333, 11361, 11367, 11491, 11497, 11524, 11791, 11958, 11964, 12007, 12184, 12190, 12297, 12467, 12562, 12571, 12699, 12803, 12809, 12865, 13122, 13128, 13387, 13401, 13454, 13511, 13700, 13706, 13728, 13734, 13755, 13761, 13877, 13963, 14009, 14101, 14251, 14283, 14289, 14388, 14414, 14817, 14823, 15205, 15214, 15476, 15532, 15746, 15752, 15830, 15836, 15897, 15903, 16163, 16221, 16229, 16286, 16303, 16617, 16623, 16872, 16880]","[0, 6, 1769, 1843, 2420, 2506, 2533, 3154, 3199, 3300, 3314, 3320, 4392, 4982, 4988, 5013, 5198, 5247, 5293, 5385, 5571, 5687, 5731, 5793, 5841, 5921, 5950, 6414, 6446, 6713, 6719, 6729, 6735, 6811, 6919, 6925, 7062, 7069, 7219, 7361, 7545, 7604, 7763, 7927, 7933, 7955, 7978, 7984, 8278, 8284, 8324, 8330, 8402, 8546, 8595, 8636, 8788, 8794, 9045, 9051, 9091, 9097, 9350, 9356, 9610, 9616, 9687, 9896, 9902, 9928, 9934, 10158, 10402, 10411, 10535, 10541, 10719, 10725, 10881, 10914, 10949, 11245, 11256, 11326, 11332, 11360, 11366, 11490, 11496, 11523, 11790, 11957, 11963, 12006, 12183, 12189, 12296, 12466, 12561, 12570, 12698, 12802, 12808, 12864, 13121, 13127, 13386, 13400, 13453, 13510, 13699, 13705, 13727, 13733, 13754, 13760, 13876, 13962, 14008, 14100, 14250, 14282, 14288, 14387, 14413, 14816, 14822, 15204, 15213, 15475, 15531, 15745, 15751, 15829, 15835, 15896, 15902, 16162, 16220, 16228, 16285, 16302, 16616, 16622, 16871, 16879]",0.013,0.138
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[1, 7, 13, 595, 2023, 2084, 2096, 3109]","[0, 6, 12, 594, 2022, 2083, 2095, 3108]",0.375,0.544
