dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[1, 1294]","[0, 1293]",0.5,0.626
EEGRat,[1000],[1],[0],0.5,0.5
EEGRat2,[1000],[1],[0],0.5,0.5
FaceFour,"[2800, 5600, 6650]","[1, 1037, 2440, 3140, 3792, 4194, 5246, 6581, 8398]","[0, 1036, 2439, 3139, 3791, 4193, 5245, 6580, 8397]",0.286,0.58
GrandMalSeizures2,[4550],"[1, 9917]","[0, 9916]",0.4,0.49
GreatBarbet1,"[1900, 3700]","[1, 1912]","[0, 1911]",0.667,0.722
Herring,[],[1],[0],0.667,1.0
InlineSkate,"[1058, 2704]","[1, 1058, 2235, 2705, 3058, 3528, 4234]","[0, 1057, 2234, 2704, 3057, 3527, 4233]",0.545,0.61
InsectEPG1,[3802],[1],[0],0.5,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[1],[0],0.222,0.149
NogunGun,[3000],"[1, 1274, 1573, 1875, 2174, 2627, 4284, 4741, 6384, 6880]","[0, 1273, 1572, 1874, 2173, 2626, 4283, 4740, 6383, 6879]",0.154,0.395
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[1],[0],0.25,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[1, 1538, 2305, 3970, 4737, 5249, 6274]","[0, 1537, 2304, 3969, 4736, 5248, 6273]",0.154,0.72
TiltECG,[25000],"[1, 757, 960, 1763, 1964, 2357, 2764, 2975, 3395, 3605, 4019, 4232, 4446, 5076, 5700, 5906, 6114, 6720, 6922, 7313, 7706, 8094, 8289, 8486, 8870, 9259, 9838, 10033, 10613, 10809, 11006, 11393, 11589, 11981, 12367, 12759, 13140, 13335, 13531, 13913, 14109, 14303, 15080, 15276, 15856, 16434, 16630, 16828, 17224, 17620, 17822, 18218, 18422, 18626, 19235, 19440, 19831, 20024, 20589, 21149, 21341, 21534, 21731, 22322, 22526, 22937, 23143, 23350, 23556, 24172, 24580, 25183, 25582, 25783, 25982, 26375, 26570, 26763, 27712, 28291, 28481, 28872, 29076, 29266, 30044, 30641, 31426, 32403, 32798, 33537, 34448, 35967, 37571, 38175, 38784, 39385]","[0, 756, 959, 1762, 1963, 2356, 2763, 2974, 3394, 3604, 4018, 4231, 4445, 5075, 5699, 5905, 6113, 6719, 6921, 7312, 7705, 8093, 8288, 8485, 8869, 9258, 9837, 10032, 10612, 10808, 11005, 11392, 11588, 11980, 12366, 12758, 13139, 13334, 13530, 13912, 14108, 14302, 15079, 15275, 15855, 16433, 16629, 16827, 17223, 17619, 17821, 18217, 18421, 18625, 19234, 19439, 19830, 20023, 20588, 21148, 21340, 21533, 21730, 22321, 22525, 22936, 23142, 23349, 23555, 24171, 24579, 25182, 25581, 25782, 25981, 26374, 26569, 26762, 27711, 28290, 28480, 28871, 29075, 29265, 30043, 30640, 31425, 32402, 32797, 33536, 34447, 35966, 37570, 38174, 38783, 39384]",0.04,0.06
ToeSegmentation1,[1385],[1],[0],0.5,0.5
ToeSegmentation2,[1543],"[1, 1460, 2245, 2744]","[0, 1459, 2244, 2743]",0.286,0.689
Trace,"[1443, 2955]","[1, 3231, 4331]","[0, 3230, 4330]",0.286,0.482
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[1],[0],0.286,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[1],[0],0.286,0.201
WordSynonyms,"[202, 2227]","[1, 1373, 2235]","[0, 1372, 2234]",0.571,0.524
Yoga,[7295],"[1, 853, 2291, 3197, 3888, 4900, 5753, 5913, 6179, 6392, 7191, 7457, 7882, 8149, 8787, 9214, 9800, 10278, 10757, 11344, 11396, 12710, 13286, 13473, 14964, 15178]","[0, 852, 2290, 3196, 3887, 4899, 5752, 5912, 6178, 6391, 7190, 7456, 7881, 8148, 8786, 9213, 9799, 10277, 10756, 11343, 11395, 12709, 13285, 13472, 14963, 15177]",0.138,0.183
