dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[132, 421, 705, 1003, 1062, 1290, 1572, 1866, 2158, 2217, 2434, 2718, 3026, 3085, 3299]","[131, 420, 704, 1002, 1061, 1289, 1571, 1865, 2157, 2216, 2433, 2717, 3025, 3084, 3298]",0.118,0.089
EEGRat,[1000],"[260, 795, 885, 1010, 1289]","[259, 794, 884, 1009, 1288]",0.5,0.623
EEGRat2,[1000],[289],[288],0.5,0.47
FaceFour,"[2800, 5600, 6650]","[266, 292, 319, 350, 411, 620, 658, 698, 972, 1009, 1051, 1394, 1668, 1708, 1748, 2025, 2065, 2100, 2372, 2408, 2715, 2757, 2801, 3161, 3503, 3803, 3868, 4521, 5247, 5666, 5954, 5996, 6300, 6561, 6592, 6651, 6704, 6921, 7054, 7275, 7318, 7350, 7400, 7618, 7666, 7701, 7962, 8009, 8052, 8399]","[265, 291, 318, 349, 410, 619, 657, 697, 971, 1008, 1050, 1393, 1667, 1707, 1747, 2024, 2064, 2099, 2371, 2407, 2714, 2756, 2800, 3160, 3502, 3802, 3867, 4520, 5246, 5665, 5953, 5995, 6299, 6560, 6591, 6650, 6703, 6920, 7053, 7274, 7317, 7349, 7399, 7617, 7665, 7700, 7961, 8008, 8051, 8398]",0.145,0.205
GrandMalSeizures2,[4550],"[2, 10, 16, 23, 29, 35, 51, 57, 66, 72, 82, 88, 97, 105, 116, 123, 129, 135, 146, 152, 160, 168, 176, 182, 188, 195, 201, 209, 219, 225, 235, 242, 248, 254, 260, 266, 272, 286, 292, 300, 306, 314, 320, 330, 336, 342, 348, 354, 364, 372, 378, 384, 392, 402, 408, 418, 424, 435, 443, 451, 457, 465, 472, 478, 484, 495, 502, 508, 518, 528, 534, 540, 546, 556, 564, 570, 578, 585, 593, 599, 605, 613, 622, 628, 636, 642, 648, 654, 660, 666, 672, 678, 686, 694, 702, 708, 714, 720, 726, 732, 738, 744, 750, 756, 762, 771, 777, 783, 793, 800, 806, 812, 818, 827, 835, 841, 847, 853, 861, 873, 879, 885, 891, 900, 906, 916, 922, 928, 934, 941, 949, 956, 965, 971, 981, 988, 996, 1004, 1012, 1018, 1024, 1035, 1041, 1047, 1055, 1061, 1072, 1078, 1084, 1093, 1099, 1105, 1117, 1123, 1129, 1143, 1153, 1164, 1174, 1184, 1192, 1202, 1210, 1216, 1222, 1228, 1236, 1242, 1248, 1254, 1260, 1266, 1273, 1279, 1286, 1292, 1301, 1307, 1317, 1324, 1332, 1338, 1353, 1363, 1371, 1379, 1385, 1391, 1397, 1405, 1415, 1425, 1433, 1439, 1445, 1451, 1457, 1463, 1471, 1477, 1485, 1491, 1500, 1506, 1520, 1528, 1534, 1540, 1548, 1554, 1567, 1575, 1581, 1589, 1597, 1607, 1613, 1621, 1627, 1633, 1641, 1650, 1656, 1662, 1670, 1676, 1685, 1693, 1701, 1710, 1716, 1724, 1731, 1742, 1750, 1756, 1762, 1768, 1777, 1785, 1792, 1800, 1808, 1814, 1822, 1831, 1840, 1849, 1858, 1864, 1872, 1883, 1891, 1898, 1906, 1912, 1920, 1926, 1932, 1942, 1948, 1957, 1965, 1973, 1979, 1985, 1993, 1999, 2005, 2012, 2022, 2030, 2036, 2046, 2058, 2066, 2072, 2078, 2084, 2095, 2106, 2112, 2120, 2128, 2140, 2148, 2154, 2160, 2167, 2173, 2183, 2190, 2197, 2205, 2215, 2224, 2230, 2239, 2245, 2254, 2262, 2270, 2282, 2290, 2296, 2302, 2312, 2318, 2324, 2335, 2341, 2347, 2353, 2361, 2370, 2376, 2384, 2395, 2403, 2411, 2417, 2425, 2434, 2440, 2448, 2454, 2460, 2469, 2479, 2490, 2499, 2505, 2511, 2517, 2523, 2532, 2540, 2546, 2552, 2558, 2564, 2572, 2579, 2585, 2595, 2601, 2608, 2614, 2624, 2631, 2637, 2644, 2655, 2663, 2669, 2675, 2683, 2691, 2697, 2704, 2710, 2719, 2727, 2733, 2741, 2747, 2753, 2760, 2766, 2776, 2787, 2795, 2806, 2816, 2822, 2829, 2836, 2842, 2848, 2854, 2862, 2872, 2882, 2893, 2899, 2908, 2916, 2933, 2939, 2945, 2951, 2964, 2972, 2986, 2995, 3003, 3017, 3027, 3033, 3039, 3045, 3053, 3063, 3071, 3081, 3088, 3094, 3103, 3111, 3119, 3125, 3132, 3142, 3150, 3158, 3167, 3176, 3189, 3196, 3203, 3209, 3216, 3226, 3232, 3242, 3249, 3257, 3267, 3276, 3299, 3305, 3315, 3324, 3339, 3347, 3357, 3369, 3376, 3383, 3391, 3399, 3407, 3415, 3421, 3428, 3438, 3444, 3450, 3458, 3465, 3471, 3479, 3485, 3493, 3499, 3505, 3517, 3527, 3535, 3547, 3561, 3568, 3574, 3584, 3595, 3602, 3608, 3615, 3623, 3631, 3639, 3645, 3651, 3657, 3664, 3670, 3678, 3684, 3692, 3698, 3704, 3711, 3719, 3728, 3738, 3744, 3754, 3760, 3766, 3774, 3785, 3795, 3803, 3810, 3818, 3826, 3837, 3843, 3853, 3859, 3871, 3877, 3885, 3892, 3899, 3905, 3917, 3925, 3931, 3939, 3946, 3952, 3958, 3966, 3974, 3980, 3987, 3994, 4002, 4014, 4020, 4028, 4036, 4042, 4050, 4057, 4064, 4075, 4086, 4092, 4098, 4105, 4115, 4123, 4130, 4140, 4154, 4162, 4173, 4180, 4186, 4195, 4201, 4209, 4219, 4225, 4245, 4253, 4261, 4268, 4274, 4281, 4287, 4295, 4305, 4311, 4320, 4328, 4338, 4345, 4351, 4358, 4364, 4370, 4379, 4386, 4394, 4402, 4408, 4421, 4427, 4438, 4447, 4459, 4466, 4475, 4483, 4501, 4508, 4515, 4522, 4544, 4551, 4557, 4565, 4572, 4584, 4592, 4601, 4615, 4626, 4636, 4642, 4648, 4674, 4680, 4688, 4698, 4704, 4710, 4716, 4723, 4731, 4744, 4759, 4769, 4777, 4785, 4795, 4802, 4810, 4827, 4837, 4849, 4856, 4875, 4883, 4912, 4919, 4927, 4936, 4942, 4949, 4958, 4970, 4976, 4985, 4994, 5009, 5019, 5029, 5035, 5048, 5055, 5063, 5070, 5077, 5088, 5097, 5109, 5125, 5134, 5141, 5166, 5174, 5190, 5198, 5204, 5213, 5219, 5234, 5242, 5248, 5261, 5267, 5295, 5301, 5315, 5322, 5329, 5341, 5347, 5353, 5361, 5370, 5394, 5411, 5434, 5445, 5451, 5461, 5471, 5478, 5484, 5533, 5539, 5548, 5554, 5561, 5569, 5575, 5590, 5597, 5608, 5621, 5630, 5638, 5649, 5673, 5680, 5687, 5694, 5702, 5716, 5743, 5752, 5758, 5764, 5770, 5776, 5782, 5791, 5797, 5803, 5810, 5816, 5823, 5829, 5836, 5847, 5855, 5862, 5870, 5882, 5891, 5900, 5907, 5913, 5924, 5940, 5950, 5957, 5970, 5979, 5986, 5993, 6017, 6029, 6041, 6057, 6066, 6072, 6078, 6086, 6101, 6107, 6113, 6121, 6130, 6136, 6144, 6154, 6162, 6171, 6179, 6187, 6194, 6201, 6208, 6225, 6235, 6241, 6254, 6263, 6270, 6276, 6291, 6299, 6307, 6313, 6321, 6335, 6341, 6349, 6357, 6370, 6379, 6386, 6392, 6401, 6416, 6428, 6435, 6442, 6449, 6456, 6465, 6480, 6494, 6500, 6516, 6522, 6532, 6543, 6554, 6563, 6569, 6582, 6596, 6603, 6610, 6617, 6626, 6634, 6647, 6666, 6682, 6690, 6699, 6708, 6716, 6722, 6730, 6752, 6758, 6764, 6772, 6782, 6788, 6795, 6807, 6818, 6829, 6836, 6843, 6849, 6856, 6863, 6875, 6882, 6890, 6901, 6913, 6922, 6931, 6938, 6944, 6951, 6961, 6977, 6986, 6992, 7000, 7012, 7019, 7027, 7036, 7045, 7051, 7068, 7077, 7087, 7097, 7103, 7119, 7126, 7134, 7143, 7157, 7171, 7177, 7188, 7200, 7207, 7213, 7220, 7239, 7247, 7255, 7262, 7271, 7277, 7287, 7294, 7306, 7321, 7327, 7337, 7352, 7368, 7383, 7390, 7397, 7404, 7418, 7428, 7434, 7444, 7458, 7465, 7477, 7496, 7503, 7526, 7532, 7538, 7550, 7559, 7565, 7581, 7595, 7605, 7612, 7624, 7636, 7646, 7657, 7673, 7685, 7694, 7715, 7726, 7762, 7768, 7774, 7785, 7794, 7802, 7810, 7818, 7824, 7834, 7845, 7856, 7871, 7877, 7889, 7896, 7907, 7920, 7935, 7943, 7949, 7957, 7967, 7979, 7988, 7994, 8006, 8016, 8023, 8029, 8045, 8055, 8067, 8074, 8083, 8101, 8113, 8122, 8131, 8137, 8149, 8173, 8187, 8193, 8199, 8206, 8213, 8220, 8229, 8242, 8257, 8263, 8272, 8280, 8289, 8301, 8332, 8344, 8350, 8372, 8384, 8391, 8397, 8405, 8412, 8422, 8439, 8458, 8487, 8493, 8501, 8509, 8524, 8549, 8562, 8569, 8575, 8583, 8589, 8597, 8609, 8615, 8621, 8646, 8660, 8674, 8684, 8691, 8702, 8720, 8728, 8737, 8750, 8760, 8772, 8778, 8786, 8794, 8804, 8813, 8819, 8834, 8845, 8851, 8858, 8864, 8887, 8898, 8905, 8911, 8917, 8926, 8933, 8947, 8955, 8972, 8982, 8991, 8999, 9017, 9026, 9035, 9044, 9052, 9064, 9077, 9084, 9091, 9097, 9111, 9120, 9126, 9135, 9146, 9163, 9173, 9181, 9190, 9206, 9213, 9224, 9232, 9241, 9251, 9264, 9270, 9276, 9287, 9302, 9330, 9337, 9343, 9349, 9372, 9383, 9392, 9399, 9409, 9418, 9429, 9435, 9443, 9458, 9468, 9476, 9488, 9496, 9503, 9516, 9525, 9545, 9551, 9565, 9584, 9593, 9603, 9614, 9625, 9632, 9638, 9645, 9651, 9658, 9667, 9676, 9684, 9690, 9697, 9709, 9726, 9737, 9748, 9761, 9774, 9784, 9790, 9805, 9811, 9819, 9826, 9837, 9846, 9855, 9863, 9871, 9879, 9897, 9903, 9909, 9917, 9925, 9931, 9937, 9948, 9959, 9970, 9986, 9992, 10004, 10011, 10021, 10030, 10040, 10057, 10065, 10074, 10081, 10091, 10097, 10112, 10131, 10143, 10153, 10172, 10184, 10197, 10206, 10215, 10226, 10235, 10242, 10250, 10264, 10271, 10281, 10287, 10293, 10306, 10317, 10323, 10330, 10337, 10345, 10353, 10371, 10386, 10398, 10409, 10415, 10427]","[1, 9, 15, 22, 28, 34, 50, 56, 65, 71, 81, 87, 96, 104, 115, 122, 128, 134, 145, 151, 159, 167, 175, 181, 187, 194, 200, 208, 218, 224, 234, 241, 247, 253, 259, 265, 271, 285, 291, 299, 305, 313, 319, 329, 335, 341, 347, 353, 363, 371, 377, 383, 391, 401, 407, 417, 423, 434, 442, 450, 456, 464, 471, 477, 483, 494, 501, 507, 517, 527, 533, 539, 545, 555, 563, 569, 577, 584, 592, 598, 604, 612, 621, 627, 635, 641, 647, 653, 659, 665, 671, 677, 685, 693, 701, 707, 713, 719, 725, 731, 737, 743, 749, 755, 761, 770, 776, 782, 792, 799, 805, 811, 817, 826, 834, 840, 846, 852, 860, 872, 878, 884, 890, 899, 905, 915, 921, 927, 933, 940, 948, 955, 964, 970, 980, 987, 995, 1003, 1011, 1017, 1023, 1034, 1040, 1046, 1054, 1060, 1071, 1077, 1083, 1092, 1098, 1104, 1116, 1122, 1128, 1142, 1152, 1163, 1173, 1183, 1191, 1201, 1209, 1215, 1221, 1227, 1235, 1241, 1247, 1253, 1259, 1265, 1272, 1278, 1285, 1291, 1300, 1306, 1316, 1323, 1331, 1337, 1352, 1362, 1370, 1378, 1384, 1390, 1396, 1404, 1414, 1424, 1432, 1438, 1444, 1450, 1456, 1462, 1470, 1476, 1484, 1490, 1499, 1505, 1519, 1527, 1533, 1539, 1547, 1553, 1566, 1574, 1580, 1588, 1596, 1606, 1612, 1620, 1626, 1632, 1640, 1649, 1655, 1661, 1669, 1675, 1684, 1692, 1700, 1709, 1715, 1723, 1730, 1741, 1749, 1755, 1761, 1767, 1776, 1784, 1791, 1799, 1807, 1813, 1821, 1830, 1839, 1848, 1857, 1863, 1871, 1882, 1890, 1897, 1905, 1911, 1919, 1925, 1931, 1941, 1947, 1956, 1964, 1972, 1978, 1984, 1992, 1998, 2004, 2011, 2021, 2029, 2035, 2045, 2057, 2065, 2071, 2077, 2083, 2094, 2105, 2111, 2119, 2127, 2139, 2147, 2153, 2159, 2166, 2172, 2182, 2189, 2196, 2204, 2214, 2223, 2229, 2238, 2244, 2253, 2261, 2269, 2281, 2289, 2295, 2301, 2311, 2317, 2323, 2334, 2340, 2346, 2352, 2360, 2369, 2375, 2383, 2394, 2402, 2410, 2416, 2424, 2433, 2439, 2447, 2453, 2459, 2468, 2478, 2489, 2498, 2504, 2510, 2516, 2522, 2531, 2539, 2545, 2551, 2557, 2563, 2571, 2578, 2584, 2594, 2600, 2607, 2613, 2623, 2630, 2636, 2643, 2654, 2662, 2668, 2674, 2682, 2690, 2696, 2703, 2709, 2718, 2726, 2732, 2740, 2746, 2752, 2759, 2765, 2775, 2786, 2794, 2805, 2815, 2821, 2828, 2835, 2841, 2847, 2853, 2861, 2871, 2881, 2892, 2898, 2907, 2915, 2932, 2938, 2944, 2950, 2963, 2971, 2985, 2994, 3002, 3016, 3026, 3032, 3038, 3044, 3052, 3062, 3070, 3080, 3087, 3093, 3102, 3110, 3118, 3124, 3131, 3141, 3149, 3157, 3166, 3175, 3188, 3195, 3202, 3208, 3215, 3225, 3231, 3241, 3248, 3256, 3266, 3275, 3298, 3304, 3314, 3323, 3338, 3346, 3356, 3368, 3375, 3382, 3390, 3398, 3406, 3414, 3420, 3427, 3437, 3443, 3449, 3457, 3464, 3470, 3478, 3484, 3492, 3498, 3504, 3516, 3526, 3534, 3546, 3560, 3567, 3573, 3583, 3594, 3601, 3607, 3614, 3622, 3630, 3638, 3644, 3650, 3656, 3663, 3669, 3677, 3683, 3691, 3697, 3703, 3710, 3718, 3727, 3737, 3743, 3753, 3759, 3765, 3773, 3784, 3794, 3802, 3809, 3817, 3825, 3836, 3842, 3852, 3858, 3870, 3876, 3884, 3891, 3898, 3904, 3916, 3924, 3930, 3938, 3945, 3951, 3957, 3965, 3973, 3979, 3986, 3993, 4001, 4013, 4019, 4027, 4035, 4041, 4049, 4056, 4063, 4074, 4085, 4091, 4097, 4104, 4114, 4122, 4129, 4139, 4153, 4161, 4172, 4179, 4185, 4194, 4200, 4208, 4218, 4224, 4244, 4252, 4260, 4267, 4273, 4280, 4286, 4294, 4304, 4310, 4319, 4327, 4337, 4344, 4350, 4357, 4363, 4369, 4378, 4385, 4393, 4401, 4407, 4420, 4426, 4437, 4446, 4458, 4465, 4474, 4482, 4500, 4507, 4514, 4521, 4543, 4550, 4556, 4564, 4571, 4583, 4591, 4600, 4614, 4625, 4635, 4641, 4647, 4673, 4679, 4687, 4697, 4703, 4709, 4715, 4722, 4730, 4743, 4758, 4768, 4776, 4784, 4794, 4801, 4809, 4826, 4836, 4848, 4855, 4874, 4882, 4911, 4918, 4926, 4935, 4941, 4948, 4957, 4969, 4975, 4984, 4993, 5008, 5018, 5028, 5034, 5047, 5054, 5062, 5069, 5076, 5087, 5096, 5108, 5124, 5133, 5140, 5165, 5173, 5189, 5197, 5203, 5212, 5218, 5233, 5241, 5247, 5260, 5266, 5294, 5300, 5314, 5321, 5328, 5340, 5346, 5352, 5360, 5369, 5393, 5410, 5433, 5444, 5450, 5460, 5470, 5477, 5483, 5532, 5538, 5547, 5553, 5560, 5568, 5574, 5589, 5596, 5607, 5620, 5629, 5637, 5648, 5672, 5679, 5686, 5693, 5701, 5715, 5742, 5751, 5757, 5763, 5769, 5775, 5781, 5790, 5796, 5802, 5809, 5815, 5822, 5828, 5835, 5846, 5854, 5861, 5869, 5881, 5890, 5899, 5906, 5912, 5923, 5939, 5949, 5956, 5969, 5978, 5985, 5992, 6016, 6028, 6040, 6056, 6065, 6071, 6077, 6085, 6100, 6106, 6112, 6120, 6129, 6135, 6143, 6153, 6161, 6170, 6178, 6186, 6193, 6200, 6207, 6224, 6234, 6240, 6253, 6262, 6269, 6275, 6290, 6298, 6306, 6312, 6320, 6334, 6340, 6348, 6356, 6369, 6378, 6385, 6391, 6400, 6415, 6427, 6434, 6441, 6448, 6455, 6464, 6479, 6493, 6499, 6515, 6521, 6531, 6542, 6553, 6562, 6568, 6581, 6595, 6602, 6609, 6616, 6625, 6633, 6646, 6665, 6681, 6689, 6698, 6707, 6715, 6721, 6729, 6751, 6757, 6763, 6771, 6781, 6787, 6794, 6806, 6817, 6828, 6835, 6842, 6848, 6855, 6862, 6874, 6881, 6889, 6900, 6912, 6921, 6930, 6937, 6943, 6950, 6960, 6976, 6985, 6991, 6999, 7011, 7018, 7026, 7035, 7044, 7050, 7067, 7076, 7086, 7096, 7102, 7118, 7125, 7133, 7142, 7156, 7170, 7176, 7187, 7199, 7206, 7212, 7219, 7238, 7246, 7254, 7261, 7270, 7276, 7286, 7293, 7305, 7320, 7326, 7336, 7351, 7367, 7382, 7389, 7396, 7403, 7417, 7427, 7433, 7443, 7457, 7464, 7476, 7495, 7502, 7525, 7531, 7537, 7549, 7558, 7564, 7580, 7594, 7604, 7611, 7623, 7635, 7645, 7656, 7672, 7684, 7693, 7714, 7725, 7761, 7767, 7773, 7784, 7793, 7801, 7809, 7817, 7823, 7833, 7844, 7855, 7870, 7876, 7888, 7895, 7906, 7919, 7934, 7942, 7948, 7956, 7966, 7978, 7987, 7993, 8005, 8015, 8022, 8028, 8044, 8054, 8066, 8073, 8082, 8100, 8112, 8121, 8130, 8136, 8148, 8172, 8186, 8192, 8198, 8205, 8212, 8219, 8228, 8241, 8256, 8262, 8271, 8279, 8288, 8300, 8331, 8343, 8349, 8371, 8383, 8390, 8396, 8404, 8411, 8421, 8438, 8457, 8486, 8492, 8500, 8508, 8523, 8548, 8561, 8568, 8574, 8582, 8588, 8596, 8608, 8614, 8620, 8645, 8659, 8673, 8683, 8690, 8701, 8719, 8727, 8736, 8749, 8759, 8771, 8777, 8785, 8793, 8803, 8812, 8818, 8833, 8844, 8850, 8857, 8863, 8886, 8897, 8904, 8910, 8916, 8925, 8932, 8946, 8954, 8971, 8981, 8990, 8998, 9016, 9025, 9034, 9043, 9051, 9063, 9076, 9083, 9090, 9096, 9110, 9119, 9125, 9134, 9145, 9162, 9172, 9180, 9189, 9205, 9212, 9223, 9231, 9240, 9250, 9263, 9269, 9275, 9286, 9301, 9329, 9336, 9342, 9348, 9371, 9382, 9391, 9398, 9408, 9417, 9428, 9434, 9442, 9457, 9467, 9475, 9487, 9495, 9502, 9515, 9524, 9544, 9550, 9564, 9583, 9592, 9602, 9613, 9624, 9631, 9637, 9644, 9650, 9657, 9666, 9675, 9683, 9689, 9696, 9708, 9725, 9736, 9747, 9760, 9773, 9783, 9789, 9804, 9810, 9818, 9825, 9836, 9845, 9854, 9862, 9870, 9878, 9896, 9902, 9908, 9916, 9924, 9930, 9936, 9947, 9958, 9969, 9985, 9991, 10003, 10010, 10020, 10029, 10039, 10056, 10064, 10073, 10080, 10090, 10096, 10111, 10130, 10142, 10152, 10171, 10183, 10196, 10205, 10214, 10225, 10234, 10241, 10249, 10263, 10270, 10280, 10286, 10292, 10305, 10316, 10322, 10329, 10336, 10344, 10352, 10370, 10385, 10397, 10408, 10414, 10426]",0.003,0.007
GreatBarbet1,"[1900, 3700]","[255, 624, 1029, 1154, 2075, 4434]","[254, 623, 1028, 1153, 2074, 4433]",0.2,0.45
Herring,[],"[204, 257, 456, 515, 581, 898, 1101, 1152, 1228, 1281, 1410, 1613, 1665, 1737, 1792, 1862, 2249, 2691, 2759, 2817, 2889, 3020, 3074, 3139, 3202, 3270, 3331, 3400, 3456, 4039, 4098, 4168, 4229, 4297, 4353, 4425, 4482, 4681, 4739, 4807, 4866, 4935, 4992]","[203, 256, 455, 514, 580, 897, 1100, 1151, 1227, 1280, 1409, 1612, 1664, 1736, 1791, 1861, 2248, 2690, 2758, 2816, 2888, 3019, 3073, 3138, 3201, 3269, 3330, 3399, 3455, 4038, 4097, 4167, 4228, 4296, 4352, 4424, 4481, 4680, 4738, 4806, 4865, 4934, 4991]",0.044,0.117
InlineSkate,"[1058, 2704]","[71, 228, 316, 405, 557, 668, 785, 902, 1023, 1058, 1127, 1241, 1362, 1483, 1717, 1834, 1949, 2070, 2200, 2232, 2305, 2434, 2542, 2694, 2772, 2893, 3047, 3145, 3256, 3363, 3519, 3604, 3750, 3834, 3969, 4074, 4209, 4303, 4437, 4543, 4683, 4776]","[70, 227, 315, 404, 556, 667, 784, 901, 1022, 1057, 1126, 1240, 1361, 1482, 1716, 1833, 1948, 2069, 2199, 2231, 2304, 2433, 2541, 2693, 2771, 2892, 3046, 3144, 3255, 3362, 3518, 3603, 3749, 3833, 3968, 4073, 4208, 4302, 4436, 4542, 4682, 4775]",0.13,0.113
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
