dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[141, 430, 712, 1016, 1294, 1580, 1872, 2169, 2441, 2727, 3044, 3306]","[140, 429, 711, 1015, 1293, 1579, 1871, 2168, 2440, 2726, 3043, 3305]",0.143,0.092
EEGRat,[1000],"[271, 855]","[270, 854]",0.4,0.729
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]","[1014, 1055, 1395, 1751, 2027, 2065, 2103, 2454, 2717, 2757, 3166, 3875, 5667, 5998, 6593, 6653, 6706, 6923, 7055, 7277, 7319, 7352, 7705, 7963, 8012, 8058, 8399]","[1013, 1054, 1394, 1750, 2026, 2064, 2102, 2453, 2716, 2756, 3165, 3874, 5666, 5997, 6592, 6652, 6705, 6922, 7054, 7276, 7318, 7351, 7704, 7962, 8011, 8057, 8398]",0.25,0.434
GrandMalSeizures2,[4550],"[2, 10, 16, 23, 29, 35, 51, 57, 66, 72, 82, 88, 97, 105, 116, 123, 129, 135, 146, 152, 160, 168, 176, 182, 188, 195, 201, 209, 219, 225, 235, 242, 248, 254, 260, 266, 272, 286, 292, 300, 306, 314, 320, 330, 339, 345, 351, 359, 365, 373, 382, 392, 402, 408, 418, 424, 435, 443, 451, 457, 465, 472, 478, 484, 495, 502, 508, 518, 528, 534, 540, 546, 555, 561, 568, 574, 585, 593, 599, 605, 613, 622, 628, 636, 642, 648, 654, 660, 666, 672, 678, 686, 694, 702, 708, 714, 720, 726, 732, 738, 744, 750, 756, 762, 771, 777, 783, 793, 800, 806, 812, 818, 827, 835, 841, 847, 853, 861, 873, 879, 890, 896, 904, 916, 922, 928, 934, 941, 950, 956, 965, 971, 981, 988, 996, 1004, 1012, 1018, 1024, 1035, 1041, 1047, 1055, 1061, 1072, 1078, 1084, 1093, 1099, 1105, 1117, 1123, 1129, 1143, 1153, 1164, 1174, 1184, 1192, 1202, 1213, 1219, 1225, 1232, 1238, 1244, 1252, 1260, 1266, 1273, 1279, 1286, 1292, 1301, 1307, 1317, 1324, 1332, 1338, 1353, 1363, 1371, 1379, 1385, 1391, 1397, 1405, 1415, 1425, 1433, 1439, 1445, 1451, 1457, 1463, 1471, 1477, 1485, 1491, 1500, 1506, 1520, 1528, 1534, 1540, 1548, 1554, 1567, 1575, 1581, 1589, 1597, 1607, 1613, 1621, 1627, 1633, 1641, 1650, 1656, 1663, 1669, 1675, 1683, 1689, 1701, 1710, 1716, 1724, 1731, 1742, 1750, 1756, 1762, 1768, 1777, 1785, 1792, 1800, 1808, 1814, 1822, 1831, 1840, 1849, 1858, 1864, 1871, 1883, 1891, 1898, 1906, 1912, 1920, 1926, 1932, 1942, 1948, 1957, 1965, 1973, 1979, 1985, 1993, 1999, 2005, 2012, 2022, 2030, 2036, 2046, 2058, 2066, 2072, 2078, 2084, 2091, 2097, 2106, 2112, 2120, 2128, 2140, 2148, 2154, 2160, 2167, 2173, 2186, 2195, 2205, 2215, 2224, 2230, 2239, 2245, 2254, 2262, 2270, 2282, 2290, 2296, 2302, 2312, 2318, 2324, 2335, 2341, 2347, 2353, 2361, 2370, 2376, 2383, 2389, 2395, 2403, 2411, 2417, 2425, 2434, 2440, 2448, 2454, 2460, 2469, 2479, 2490, 2499, 2505, 2511, 2517, 2523, 2532, 2540, 2546, 2552, 2558, 2564, 2572, 2579, 2585, 2595, 2601, 2608, 2614, 2624, 2631, 2637, 2644, 2655, 2663, 2669, 2675, 2683, 2691, 2697, 2704, 2710, 2719, 2727, 2733, 2741, 2747, 2753, 2760, 2766, 2776, 2787, 2795, 2806, 2816, 2825, 2833, 2839, 2848, 2854, 2862, 2872, 2882, 2893, 2902, 2908, 2916, 2933, 2939, 2945, 2951, 2964, 2972, 2986, 2995, 3003, 3016, 3024, 3033, 3039, 3045, 3053, 3063, 3071, 3078, 3088, 3094, 3103, 3110, 3118, 3126, 3132, 3142, 3150, 3158, 3167, 3176, 3189, 3196, 3203, 3209, 3216, 3225, 3233, 3242, 3249, 3257, 3267, 3276, 3300, 3308, 3314, 3324, 3339, 3347, 3357, 3369, 3376, 3383, 3391, 3399, 3407, 3415, 3422, 3428, 3438, 3444, 3450, 3459, 3465, 3471, 3479, 3485, 3493, 3499, 3506, 3512, 3522, 3530, 3538, 3546, 3561, 3568, 3574, 3584, 3595, 3602, 3613, 3619, 3627, 3635, 3643, 3650, 3657, 3664, 3670, 3678, 3684, 3692, 3698, 3704, 3711, 3719, 3728, 3738, 3745, 3753, 3760, 3766, 3774, 3785, 3795, 3803, 3810, 3818, 3826, 3837, 3843, 3853, 3859, 3871, 3877, 3885, 3891, 3899, 3905, 3917, 3925, 3931, 3939, 3946, 3952, 3958, 3966, 3974, 3980, 3987, 3993, 4001, 4011, 4019, 4031, 4038, 4044, 4050, 4057, 4064, 4075, 4087, 4094, 4103, 4115, 4123, 4130, 4140, 4154, 4162, 4173, 4179, 4185, 4195, 4201, 4209, 4218, 4225, 4234, 4245, 4253, 4261, 4268, 4274, 4281, 4307, 4320, 4328, 4338, 4346, 4353, 4360, 4373, 4379, 4386, 4394, 4402, 4409, 4421, 4427, 4438, 4447, 4459, 4466, 4475, 4484, 4501, 4508, 4515, 4522, 4545, 4552, 4558, 4565, 4572, 4584, 4592, 4601, 4626, 4632, 4643, 4652, 4674, 4704, 4710, 4719, 4728, 4744, 4759, 4774, 4781, 4788, 4800, 4809, 4838, 4849, 4856, 4875, 4883, 4901, 4912, 4919, 4927, 4936, 4942, 4949, 4961, 4970, 4976, 4987, 5009, 5019, 5026, 5033, 5040, 5048, 5055, 5066, 5078, 5088, 5097, 5109, 5125, 5131, 5137, 5166, 5174, 5190, 5198, 5204, 5213, 5219, 5229, 5242, 5248, 5256, 5267, 5295, 5301, 5315, 5322, 5329, 5341, 5347, 5353, 5361, 5370, 5411, 5445, 5451, 5457, 5463, 5471, 5478, 5484, 5533, 5539, 5548, 5555, 5561, 5569, 5575, 5590, 5597, 5608, 5621, 5630, 5636, 5649, 5673, 5679, 5694, 5702, 5716, 5723, 5743, 5752, 5758, 5764, 5770, 5776, 5782, 5791, 5797, 5803, 5810, 5816, 5823, 5829, 5836, 5852, 5864, 5870, 5882, 5890, 5900, 5907, 5913, 5924, 5946, 5952, 5961, 5970, 5979, 5986, 5993, 6017, 6032, 6038, 6044, 6050, 6057, 6066, 6072, 6078, 6089, 6102, 6110, 6118, 6126, 6144, 6154, 6167, 6179, 6187, 6194, 6202, 6212, 6219, 6225, 6235, 6241, 6254, 6263, 6270, 6276, 6287, 6299, 6307, 6314, 6322, 6335, 6342, 6349, 6370, 6379, 6386, 6392, 6401, 6416, 6428, 6442, 6449, 6455, 6463, 6480, 6494, 6501, 6517, 6533, 6543, 6555, 6569, 6583, 6596, 6603, 6610, 6617, 6627, 6639, 6647, 6666, 6682, 6690, 6700, 6712, 6720, 6730, 6746, 6755, 6764, 6772, 6783, 6795, 6807, 6818, 6829, 6836, 6843, 6850, 6863, 6878, 6897, 6914, 6922, 6931, 6939, 6947, 6962, 6977, 6986, 7000, 7012, 7019, 7027, 7036, 7045, 7054, 7068, 7077, 7087, 7096, 7102, 7119, 7126, 7134, 7143, 7158, 7171, 7177, 7188, 7200, 7207, 7213, 7220, 7243, 7249, 7259, 7267, 7277, 7287, 7294, 7307, 7315, 7323, 7338, 7357, 7368, 7384, 7390, 7397, 7405, 7413, 7423, 7429, 7444, 7450, 7458, 7465, 7478, 7497, 7505, 7526, 7533, 7550, 7559, 7566, 7581, 7595, 7606, 7612, 7624, 7630, 7636, 7642, 7657, 7673, 7694, 7715, 7724, 7740, 7762, 7768, 7775, 7785, 7794, 7810, 7819, 7826, 7834, 7847, 7856, 7871, 7880, 7892, 7907, 7920, 7935, 7943, 7949, 7958, 7967, 7979, 7988, 7997, 8007, 8015, 8023, 8029, 8045, 8055, 8067, 8075, 8101, 8113, 8131, 8137, 8149, 8175, 8187, 8199, 8206, 8220, 8229, 8242, 8266, 8280, 8301, 8332, 8351, 8372, 8384, 8391, 8397, 8406, 8412, 8427, 8439, 8458, 8491, 8499, 8509, 8524, 8549, 8562, 8569, 8576, 8583, 8597, 8609, 8615, 8621, 8646, 8659, 8674, 8685, 8705, 8720, 8729, 8737, 8748, 8760, 8772, 8779, 8786, 8794, 8804, 8813, 8823, 8835, 8851, 8858, 8864, 8887, 8894, 8901, 8912, 8920, 8926, 8933, 8947, 8955, 8972, 8982, 8995, 9004, 9017, 9026, 9035, 9044, 9052, 9064, 9077, 9084, 9092, 9100, 9111, 9122, 9129, 9146, 9162, 9168, 9181, 9193, 9206, 9224, 9232, 9244, 9251, 9264, 9277, 9287, 9304, 9320, 9330, 9337, 9344, 9377, 9383, 9392, 9399, 9410, 9418, 9429, 9435, 9448, 9458, 9476, 9488, 9496, 9504, 9521, 9545, 9570, 9584, 9593, 9607, 9618, 9625, 9638, 9651, 9658, 9664, 9671, 9690, 9698, 9726, 9737, 9748, 9761, 9781, 9789, 9805, 9837, 9846, 9855, 9863, 9879, 9888, 9898, 9909, 9917, 9925, 9932, 9940, 9950, 9960, 9986, 9992, 10004, 10011, 10021, 10030, 10040, 10059, 10078, 10091, 10097, 10114, 10131, 10143, 10153, 10183, 10197, 10206, 10215, 10226, 10235, 10250, 10264, 10271, 10281, 10287, 10306, 10317, 10323, 10330, 10337, 10345, 10353, 10371, 10386, 10398, 10410, 10427]","[1, 9, 15, 22, 28, 34, 50, 56, 65, 71, 81, 87, 96, 104, 115, 122, 128, 134, 145, 151, 159, 167, 175, 181, 187, 194, 200, 208, 218, 224, 234, 241, 247, 253, 259, 265, 271, 285, 291, 299, 305, 313, 319, 329, 338, 344, 350, 358, 364, 372, 381, 391, 401, 407, 417, 423, 434, 442, 450, 456, 464, 471, 477, 483, 494, 501, 507, 517, 527, 533, 539, 545, 554, 560, 567, 573, 584, 592, 598, 604, 612, 621, 627, 635, 641, 647, 653, 659, 665, 671, 677, 685, 693, 701, 707, 713, 719, 725, 731, 737, 743, 749, 755, 761, 770, 776, 782, 792, 799, 805, 811, 817, 826, 834, 840, 846, 852, 860, 872, 878, 889, 895, 903, 915, 921, 927, 933, 940, 949, 955, 964, 970, 980, 987, 995, 1003, 1011, 1017, 1023, 1034, 1040, 1046, 1054, 1060, 1071, 1077, 1083, 1092, 1098, 1104, 1116, 1122, 1128, 1142, 1152, 1163, 1173, 1183, 1191, 1201, 1212, 1218, 1224, 1231, 1237, 1243, 1251, 1259, 1265, 1272, 1278, 1285, 1291, 1300, 1306, 1316, 1323, 1331, 1337, 1352, 1362, 1370, 1378, 1384, 1390, 1396, 1404, 1414, 1424, 1432, 1438, 1444, 1450, 1456, 1462, 1470, 1476, 1484, 1490, 1499, 1505, 1519, 1527, 1533, 1539, 1547, 1553, 1566, 1574, 1580, 1588, 1596, 1606, 1612, 1620, 1626, 1632, 1640, 1649, 1655, 1662, 1668, 1674, 1682, 1688, 1700, 1709, 1715, 1723, 1730, 1741, 1749, 1755, 1761, 1767, 1776, 1784, 1791, 1799, 1807, 1813, 1821, 1830, 1839, 1848, 1857, 1863, 1870, 1882, 1890, 1897, 1905, 1911, 1919, 1925, 1931, 1941, 1947, 1956, 1964, 1972, 1978, 1984, 1992, 1998, 2004, 2011, 2021, 2029, 2035, 2045, 2057, 2065, 2071, 2077, 2083, 2090, 2096, 2105, 2111, 2119, 2127, 2139, 2147, 2153, 2159, 2166, 2172, 2185, 2194, 2204, 2214, 2223, 2229, 2238, 2244, 2253, 2261, 2269, 2281, 2289, 2295, 2301, 2311, 2317, 2323, 2334, 2340, 2346, 2352, 2360, 2369, 2375, 2382, 2388, 2394, 2402, 2410, 2416, 2424, 2433, 2439, 2447, 2453, 2459, 2468, 2478, 2489, 2498, 2504, 2510, 2516, 2522, 2531, 2539, 2545, 2551, 2557, 2563, 2571, 2578, 2584, 2594, 2600, 2607, 2613, 2623, 2630, 2636, 2643, 2654, 2662, 2668, 2674, 2682, 2690, 2696, 2703, 2709, 2718, 2726, 2732, 2740, 2746, 2752, 2759, 2765, 2775, 2786, 2794, 2805, 2815, 2824, 2832, 2838, 2847, 2853, 2861, 2871, 2881, 2892, 2901, 2907, 2915, 2932, 2938, 2944, 2950, 2963, 2971, 2985, 2994, 3002, 3015, 3023, 3032, 3038, 3044, 3052, 3062, 3070, 3077, 3087, 3093, 3102, 3109, 3117, 3125, 3131, 3141, 3149, 3157, 3166, 3175, 3188, 3195, 3202, 3208, 3215, 3224, 3232, 3241, 3248, 3256, 3266, 3275, 3299, 3307, 3313, 3323, 3338, 3346, 3356, 3368, 3375, 3382, 3390, 3398, 3406, 3414, 3421, 3427, 3437, 3443, 3449, 3458, 3464, 3470, 3478, 3484, 3492, 3498, 3505, 3511, 3521, 3529, 3537, 3545, 3560, 3567, 3573, 3583, 3594, 3601, 3612, 3618, 3626, 3634, 3642, 3649, 3656, 3663, 3669, 3677, 3683, 3691, 3697, 3703, 3710, 3718, 3727, 3737, 3744, 3752, 3759, 3765, 3773, 3784, 3794, 3802, 3809, 3817, 3825, 3836, 3842, 3852, 3858, 3870, 3876, 3884, 3890, 3898, 3904, 3916, 3924, 3930, 3938, 3945, 3951, 3957, 3965, 3973, 3979, 3986, 3992, 4000, 4010, 4018, 4030, 4037, 4043, 4049, 4056, 4063, 4074, 4086, 4093, 4102, 4114, 4122, 4129, 4139, 4153, 4161, 4172, 4178, 4184, 4194, 4200, 4208, 4217, 4224, 4233, 4244, 4252, 4260, 4267, 4273, 4280, 4306, 4319, 4327, 4337, 4345, 4352, 4359, 4372, 4378, 4385, 4393, 4401, 4408, 4420, 4426, 4437, 4446, 4458, 4465, 4474, 4483, 4500, 4507, 4514, 4521, 4544, 4551, 4557, 4564, 4571, 4583, 4591, 4600, 4625, 4631, 4642, 4651, 4673, 4703, 4709, 4718, 4727, 4743, 4758, 4773, 4780, 4787, 4799, 4808, 4837, 4848, 4855, 4874, 4882, 4900, 4911, 4918, 4926, 4935, 4941, 4948, 4960, 4969, 4975, 4986, 5008, 5018, 5025, 5032, 5039, 5047, 5054, 5065, 5077, 5087, 5096, 5108, 5124, 5130, 5136, 5165, 5173, 5189, 5197, 5203, 5212, 5218, 5228, 5241, 5247, 5255, 5266, 5294, 5300, 5314, 5321, 5328, 5340, 5346, 5352, 5360, 5369, 5410, 5444, 5450, 5456, 5462, 5470, 5477, 5483, 5532, 5538, 5547, 5554, 5560, 5568, 5574, 5589, 5596, 5607, 5620, 5629, 5635, 5648, 5672, 5678, 5693, 5701, 5715, 5722, 5742, 5751, 5757, 5763, 5769, 5775, 5781, 5790, 5796, 5802, 5809, 5815, 5822, 5828, 5835, 5851, 5863, 5869, 5881, 5889, 5899, 5906, 5912, 5923, 5945, 5951, 5960, 5969, 5978, 5985, 5992, 6016, 6031, 6037, 6043, 6049, 6056, 6065, 6071, 6077, 6088, 6101, 6109, 6117, 6125, 6143, 6153, 6166, 6178, 6186, 6193, 6201, 6211, 6218, 6224, 6234, 6240, 6253, 6262, 6269, 6275, 6286, 6298, 6306, 6313, 6321, 6334, 6341, 6348, 6369, 6378, 6385, 6391, 6400, 6415, 6427, 6441, 6448, 6454, 6462, 6479, 6493, 6500, 6516, 6532, 6542, 6554, 6568, 6582, 6595, 6602, 6609, 6616, 6626, 6638, 6646, 6665, 6681, 6689, 6699, 6711, 6719, 6729, 6745, 6754, 6763, 6771, 6782, 6794, 6806, 6817, 6828, 6835, 6842, 6849, 6862, 6877, 6896, 6913, 6921, 6930, 6938, 6946, 6961, 6976, 6985, 6999, 7011, 7018, 7026, 7035, 7044, 7053, 7067, 7076, 7086, 7095, 7101, 7118, 7125, 7133, 7142, 7157, 7170, 7176, 7187, 7199, 7206, 7212, 7219, 7242, 7248, 7258, 7266, 7276, 7286, 7293, 7306, 7314, 7322, 7337, 7356, 7367, 7383, 7389, 7396, 7404, 7412, 7422, 7428, 7443, 7449, 7457, 7464, 7477, 7496, 7504, 7525, 7532, 7549, 7558, 7565, 7580, 7594, 7605, 7611, 7623, 7629, 7635, 7641, 7656, 7672, 7693, 7714, 7723, 7739, 7761, 7767, 7774, 7784, 7793, 7809, 7818, 7825, 7833, 7846, 7855, 7870, 7879, 7891, 7906, 7919, 7934, 7942, 7948, 7957, 7966, 7978, 7987, 7996, 8006, 8014, 8022, 8028, 8044, 8054, 8066, 8074, 8100, 8112, 8130, 8136, 8148, 8174, 8186, 8198, 8205, 8219, 8228, 8241, 8265, 8279, 8300, 8331, 8350, 8371, 8383, 8390, 8396, 8405, 8411, 8426, 8438, 8457, 8490, 8498, 8508, 8523, 8548, 8561, 8568, 8575, 8582, 8596, 8608, 8614, 8620, 8645, 8658, 8673, 8684, 8704, 8719, 8728, 8736, 8747, 8759, 8771, 8778, 8785, 8793, 8803, 8812, 8822, 8834, 8850, 8857, 8863, 8886, 8893, 8900, 8911, 8919, 8925, 8932, 8946, 8954, 8971, 8981, 8994, 9003, 9016, 9025, 9034, 9043, 9051, 9063, 9076, 9083, 9091, 9099, 9110, 9121, 9128, 9145, 9161, 9167, 9180, 9192, 9205, 9223, 9231, 9243, 9250, 9263, 9276, 9286, 9303, 9319, 9329, 9336, 9343, 9376, 9382, 9391, 9398, 9409, 9417, 9428, 9434, 9447, 9457, 9475, 9487, 9495, 9503, 9520, 9544, 9569, 9583, 9592, 9606, 9617, 9624, 9637, 9650, 9657, 9663, 9670, 9689, 9697, 9725, 9736, 9747, 9760, 9780, 9788, 9804, 9836, 9845, 9854, 9862, 9878, 9887, 9897, 9908, 9916, 9924, 9931, 9939, 9949, 9959, 9985, 9991, 10003, 10010, 10020, 10029, 10039, 10058, 10077, 10090, 10096, 10113, 10130, 10142, 10152, 10182, 10196, 10205, 10214, 10225, 10234, 10249, 10263, 10270, 10280, 10286, 10305, 10316, 10322, 10329, 10336, 10344, 10352, 10370, 10385, 10397, 10409, 10426]",0.004,0.007
GreatBarbet1,"[1900, 3700]","[1722, 2046]","[1721, 2045]",0.333,0.673
Herring,[],[390],[389],0.667,0.922
InlineSkate,"[1058, 2704]","[75, 230, 324, 671, 787, 903, 1135, 1242, 1365, 1487, 1606, 1718, 1835, 1952, 2072, 2234, 2306, 2437, 2543, 2698, 2900, 3049, 3148, 3367, 3521, 3607, 3752, 3836, 3969, 4078, 4213, 4305, 4436, 4544, 4682, 4778]","[74, 229, 323, 670, 786, 902, 1134, 1241, 1364, 1486, 1605, 1717, 1834, 1951, 2071, 2233, 2305, 2436, 2542, 2697, 2899, 3048, 3147, 3366, 3520, 3606, 3751, 3835, 3968, 4077, 4212, 4304, 4435, 4543, 4681, 4777]",0.1,0.151
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
