dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[119, 410, 696, 986, 1058, 1275, 1558, 1852, 2145, 2212, 2418, 2503, 2708, 3005, 3071, 3290]","[118, 409, 695, 985, 1057, 1274, 1557, 1851, 2144, 2211, 2417, 2502, 2707, 3004, 3070, 3289]",0.111,0.086
EEGRat,[1000],"[55, 208, 271, 390, 467, 538, 646, 710, 780, 881, 997, 1033, 1061, 1160, 1252, 1728, 1811, 1851, 1938]","[54, 207, 270, 389, 466, 537, 645, 709, 779, 880, 996, 1032, 1060, 1159, 1251, 1727, 1810, 1850, 1937]",0.182,0.314
EEGRat2,[1000],"[33, 61, 160, 252, 728, 811, 851, 938, 1186, 1502, 1529, 1631]","[32, 60, 159, 251, 727, 810, 850, 937, 1185, 1501, 1528, 1630]",0.133,0.422
FaceFour,"[2800, 5600, 6650]","[59, 262, 288, 311, 345, 400, 497, 612, 653, 695, 753, 838, 965, 1004, 1038, 1051, 1112, 1316, 1342, 1393, 1460, 1667, 1697, 1745, 1809, 2023, 2052, 2065, 2097, 2151, 2367, 2396, 2441, 2505, 2710, 2742, 2755, 2798, 2852, 3030, 3072, 3091, 3119, 3500, 3552, 3629, 3801, 3851, 3867, 4259, 4479, 4516, 4550, 4602, 4680, 4825, 4857, 4906, 5173, 5210, 5246, 5302, 5521, 5553, 5601, 5664, 5862, 5920, 5952, 5995, 6177, 6231, 6271, 6297, 6559, 6590, 6642, 6701, 6799, 6917, 6953, 6998, 7050, 7147, 7273, 7309, 7347, 7397, 7551, 7614, 7639, 7662, 7698, 7752, 8006, 8049, 8099, 8397]","[58, 261, 287, 310, 344, 399, 496, 611, 652, 694, 752, 837, 964, 1003, 1037, 1050, 1111, 1315, 1341, 1392, 1459, 1666, 1696, 1744, 1808, 2022, 2051, 2064, 2096, 2150, 2366, 2395, 2440, 2504, 2709, 2741, 2754, 2797, 2851, 3029, 3071, 3090, 3118, 3499, 3551, 3628, 3800, 3850, 3866, 4258, 4478, 4515, 4549, 4601, 4679, 4824, 4856, 4905, 5172, 5209, 5245, 5301, 5520, 5552, 5600, 5663, 5861, 5919, 5951, 5994, 6176, 6230, 6270, 6296, 6558, 6589, 6641, 6700, 6798, 6916, 6952, 6997, 7049, 7146, 7272, 7308, 7346, 7396, 7550, 7613, 7638, 7661, 7697, 7751, 8005, 8048, 8098, 8396]",0.078,0.139
GrandMalSeizures2,[4550],"[2, 10, 16, 23, 29, 35, 51, 57, 66, 72, 82, 88, 94, 105, 113, 123, 129, 135, 146, 152, 160, 168, 176, 182, 188, 198, 204, 210, 218, 230, 236, 242, 248, 254, 260, 266, 272, 286, 292, 300, 306, 314, 320, 330, 336, 342, 348, 354, 364, 372, 378, 384, 392, 402, 408, 418, 424, 435, 443, 451, 457, 465, 472, 478, 484, 495, 502, 508, 518, 528, 534, 540, 546, 556, 564, 570, 578, 585, 593, 599, 605, 613, 622, 628, 636, 642, 648, 654, 660, 666, 672, 678, 686, 697, 709, 717, 725, 732, 738, 744, 750, 756, 762, 771, 777, 783, 793, 800, 806, 812, 818, 827, 835, 841, 847, 853, 861, 873, 879, 885, 891, 897, 904, 916, 922, 928, 934, 940, 946, 956, 965, 971, 981, 988, 996, 1004, 1012, 1018, 1024, 1035, 1041, 1047, 1055, 1061, 1072, 1078, 1084, 1093, 1099, 1105, 1117, 1123, 1129, 1143, 1153, 1164, 1174, 1184, 1192, 1202, 1210, 1216, 1222, 1228, 1236, 1242, 1248, 1254, 1260, 1266, 1273, 1279, 1285, 1295, 1301, 1307, 1317, 1324, 1332, 1338, 1353, 1363, 1371, 1379, 1385, 1391, 1397, 1405, 1415, 1425, 1433, 1439, 1445, 1451, 1457, 1463, 1471, 1477, 1485, 1491, 1499, 1505, 1511, 1520, 1528, 1534, 1540, 1548, 1554, 1567, 1575, 1581, 1589, 1597, 1607, 1613, 1621, 1627, 1633, 1641, 1650, 1656, 1662, 1670, 1676, 1685, 1693, 1701, 1709, 1715, 1725, 1731, 1742, 1750, 1756, 1762, 1768, 1777, 1785, 1792, 1800, 1808, 1814, 1822, 1831, 1842, 1849, 1858, 1864, 1872, 1883, 1891, 1897, 1905, 1912, 1920, 1926, 1932, 1942, 1948, 1957, 1965, 1973, 1979, 1985, 1993, 1999, 2005, 2017, 2027, 2035, 2043, 2050, 2058, 2066, 2072, 2078, 2084, 2092, 2099, 2105, 2111, 2122, 2128, 2137, 2145, 2153, 2160, 2167, 2173, 2183, 2190, 2196, 2202, 2215, 2224, 2230, 2239, 2245, 2253, 2261, 2267, 2273, 2279, 2286, 2292, 2302, 2312, 2318, 2324, 2335, 2341, 2347, 2353, 2361, 2370, 2376, 2384, 2395, 2403, 2411, 2417, 2425, 2434, 2440, 2448, 2454, 2460, 2469, 2479, 2490, 2496, 2502, 2514, 2521, 2527, 2540, 2546, 2552, 2558, 2564, 2572, 2579, 2585, 2595, 2601, 2608, 2614, 2624, 2631, 2637, 2643, 2649, 2655, 2663, 2669, 2675, 2681, 2687, 2697, 2704, 2710, 2719, 2727, 2733, 2741, 2747, 2753, 2759, 2765, 2773, 2781, 2787, 2795, 2806, 2814, 2820, 2826, 2833, 2842, 2848, 2854, 2862, 2872, 2882, 2888, 2902, 2908, 2916, 2926, 2936, 2944, 2951, 2963, 2972, 2986, 2995, 3004, 3012, 3020, 3026, 3033, 3039, 3045, 3053, 3063, 3071, 3081, 3087, 3094, 3103, 3111, 3119, 3125, 3132, 3142, 3150, 3158, 3167, 3176, 3189, 3195, 3201, 3207, 3213, 3221, 3229, 3237, 3246, 3252, 3258, 3268, 3276, 3299, 3305, 3315, 3325, 3338, 3344, 3350, 3360, 3369, 3376, 3383, 3391, 3399, 3407, 3413, 3421, 3428, 3438, 3444, 3450, 3458, 3464, 3470, 3480, 3490, 3496, 3503, 3509, 3517, 3527, 3535, 3547, 3561, 3568, 3574, 3584, 3595, 3602, 3608, 3614, 3622, 3632, 3638, 3644, 3650, 3657, 3664, 3670, 3678, 3684, 3692, 3698, 3704, 3711, 3719, 3728, 3738, 3744, 3754, 3765, 3771, 3777, 3785, 3795, 3803, 3810, 3818, 3826, 3832, 3843, 3853, 3859, 3871, 3877, 3885, 3891, 3898, 3904, 3917, 3925, 3931, 3939, 3946, 3952, 3958, 3966, 3974, 3980, 3987, 3994, 4002, 4014, 4020, 4028, 4036, 4042, 4050, 4057, 4064, 4076, 4086, 4092, 4098, 4105, 4111, 4123, 4130, 4140, 4150, 4158, 4164, 4172, 4178, 4184, 4195, 4201, 4209, 4215, 4222, 4228, 4245, 4253, 4261, 4268, 4274, 4281, 4293, 4305, 4311, 4320, 4328, 4338, 4345, 4351, 4358, 4364, 4373, 4379, 4387, 4397, 4407, 4414, 4423, 4431, 4438, 4447, 4459, 4466, 4475, 4483, 4507, 4515, 4522, 4544, 4551, 4557, 4565, 4573, 4584, 4592, 4601, 4614, 4623, 4631, 4638, 4648, 4673, 4679, 4688, 4698, 4704, 4710, 4716, 4723, 4731, 4744, 4752, 4758, 4769, 4776, 4782, 4788, 4794, 4800, 4810, 4822, 4837, 4849, 4855, 4874, 4882, 4901, 4912, 4919, 4927, 4936, 4942, 4948, 4957, 4966, 4973, 4980, 4994, 5001, 5009, 5019, 5029, 5035, 5048, 5060, 5066, 5077, 5086, 5092, 5107, 5125, 5134, 5141, 5154, 5165, 5174, 5180, 5193, 5202, 5209, 5219, 5227, 5234, 5240, 5248, 5255, 5261, 5270, 5295, 5302, 5308, 5315, 5322, 5329, 5341, 5347, 5361, 5370, 5381, 5388, 5394, 5403, 5411, 5425, 5434, 5445, 5451, 5461, 5471, 5478, 5484, 5531, 5537, 5543, 5550, 5557, 5569, 5575, 5590, 5597, 5608, 5614, 5621, 5630, 5638, 5649, 5661, 5672, 5678, 5687, 5694, 5702, 5716, 5724, 5743, 5749, 5756, 5762, 5768, 5774, 5780, 5787, 5793, 5799, 5810, 5816, 5823, 5829, 5836, 5847, 5855, 5864, 5870, 5880, 5889, 5900, 5907, 5913, 5924, 5940, 5946, 5952, 5961, 5968, 5975, 5982, 5991, 5998, 6004, 6010, 6018, 6028, 6034, 6040, 6046, 6057, 6065, 6072, 6078, 6086, 6101, 6107, 6118, 6126, 6136, 6144, 6154, 6162, 6171, 6187, 6194, 6201, 6207, 6222, 6247, 6255, 6262, 6270, 6276, 6291, 6299, 6307, 6313, 6321, 6331, 6341, 6349, 6357, 6368, 6375, 6382, 6392, 6401, 6413, 6419, 6428, 6435, 6442, 6448, 6456, 6465, 6476, 6492, 6500, 6508, 6516, 6531, 6542, 6548, 6554, 6566, 6575, 6581, 6596, 6603, 6610, 6617, 6626, 6634, 6647, 6665, 6682, 6690, 6699, 6708, 6716, 6722, 6730, 6749, 6755, 6764, 6772, 6782, 6788, 6795, 6804, 6812, 6818, 6829, 6836, 6843, 6849, 6856, 6864, 6870, 6877, 6887, 6896, 6907, 6913, 6921, 6931, 6940, 6946, 6963, 6975, 6981, 6991, 7000, 7012, 7019, 7027, 7036, 7045, 7051, 7057, 7068, 7076, 7086, 7097, 7114, 7126, 7134, 7143, 7154, 7171, 7177, 7184, 7191, 7200, 7207, 7213, 7220, 7226, 7239, 7247, 7259, 7271, 7277, 7287, 7294, 7306, 7319, 7326, 7334, 7351, 7362, 7368, 7377, 7383, 7390, 7397, 7404, 7418, 7428, 7434, 7444, 7450, 7465, 7477, 7487, 7496, 7503, 7523, 7538, 7550, 7558, 7564, 7581, 7594, 7605, 7612, 7624, 7636, 7642, 7653, 7670, 7676, 7693, 7699, 7715, 7723, 7739, 7762, 7771, 7785, 7794, 7800, 7809, 7817, 7824, 7834, 7845, 7851, 7859, 7871, 7877, 7887, 7896, 7902, 7911, 7920, 7935, 7943, 7949, 7957, 7967, 7979, 7988, 7997, 8003, 8015, 8022, 8029, 8041, 8048, 8066, 8074, 8083, 8101, 8111, 8117, 8131, 8146, 8157, 8170, 8180, 8187, 8193, 8202, 8208, 8220, 8229, 8242, 8250, 8257, 8263, 8272, 8280, 8288, 8300, 8313, 8320, 8326, 8332, 8343, 8350, 8372, 8380, 8388, 8397, 8405, 8412, 8421, 8438, 8458, 8475, 8487, 8493, 8501, 8508, 8519, 8527, 8542, 8549, 8559, 8569, 8579, 8589, 8597, 8605, 8614, 8621, 8633, 8642, 8650, 8659, 8665, 8671, 8684, 8691, 8701, 8719, 8727, 8737, 8747, 8763, 8772, 8778, 8786, 8794, 8800, 8806, 8813, 8819, 8828, 8836, 8845, 8851, 8858, 8864, 8887, 8898, 8905, 8913, 8920, 8926, 8933, 8946, 8954, 8968, 8976, 8983, 8996, 9004, 9017, 9024, 9030, 9049, 9064, 9073, 9084, 9091, 9097, 9111, 9120, 9126, 9135, 9145, 9162, 9168, 9181, 9190, 9206, 9213, 9223, 9232, 9241, 9250, 9264, 9270, 9276, 9284, 9291, 9309, 9315, 9329, 9337, 9344, 9360, 9367, 9377, 9383, 9392, 9398, 9409, 9418, 9429, 9435, 9443, 9458, 9468, 9476, 9488, 9496, 9503, 9516, 9525, 9534, 9542, 9548, 9563, 9570, 9584, 9592, 9600, 9607, 9613, 9619, 9625, 9632, 9638, 9645, 9651, 9658, 9667, 9675, 9684, 9690, 9697, 9708, 9726, 9748, 9757, 9765, 9771, 9777, 9789, 9810, 9816, 9826, 9832, 9839, 9855, 9863, 9871, 9879, 9888, 9897, 9903, 9909, 9916, 9925, 9931, 9937, 9947, 9955, 9970, 9985, 9991, 10002, 10008, 10014, 10021, 10029, 10039, 10050, 10057, 10065, 10073, 10080, 10091, 10097, 10112, 10127, 10135, 10141, 10153, 10171, 10183, 10197, 10215, 10223, 10231, 10242, 10250, 10264, 10272, 10281, 10293, 10306, 10317, 10323, 10329, 10337, 10345, 10352, 10363, 10371, 10385, 10398, 10409, 10424, 10432]","[1, 9, 15, 22, 28, 34, 50, 56, 65, 71, 81, 87, 93, 104, 112, 122, 128, 134, 145, 151, 159, 167, 175, 181, 187, 197, 203, 209, 217, 229, 235, 241, 247, 253, 259, 265, 271, 285, 291, 299, 305, 313, 319, 329, 335, 341, 347, 353, 363, 371, 377, 383, 391, 401, 407, 417, 423, 434, 442, 450, 456, 464, 471, 477, 483, 494, 501, 507, 517, 527, 533, 539, 545, 555, 563, 569, 577, 584, 592, 598, 604, 612, 621, 627, 635, 641, 647, 653, 659, 665, 671, 677, 685, 696, 708, 716, 724, 731, 737, 743, 749, 755, 761, 770, 776, 782, 792, 799, 805, 811, 817, 826, 834, 840, 846, 852, 860, 872, 878, 884, 890, 896, 903, 915, 921, 927, 933, 939, 945, 955, 964, 970, 980, 987, 995, 1003, 1011, 1017, 1023, 1034, 1040, 1046, 1054, 1060, 1071, 1077, 1083, 1092, 1098, 1104, 1116, 1122, 1128, 1142, 1152, 1163, 1173, 1183, 1191, 1201, 1209, 1215, 1221, 1227, 1235, 1241, 1247, 1253, 1259, 1265, 1272, 1278, 1284, 1294, 1300, 1306, 1316, 1323, 1331, 1337, 1352, 1362, 1370, 1378, 1384, 1390, 1396, 1404, 1414, 1424, 1432, 1438, 1444, 1450, 1456, 1462, 1470, 1476, 1484, 1490, 1498, 1504, 1510, 1519, 1527, 1533, 1539, 1547, 1553, 1566, 1574, 1580, 1588, 1596, 1606, 1612, 1620, 1626, 1632, 1640, 1649, 1655, 1661, 1669, 1675, 1684, 1692, 1700, 1708, 1714, 1724, 1730, 1741, 1749, 1755, 1761, 1767, 1776, 1784, 1791, 1799, 1807, 1813, 1821, 1830, 1841, 1848, 1857, 1863, 1871, 1882, 1890, 1896, 1904, 1911, 1919, 1925, 1931, 1941, 1947, 1956, 1964, 1972, 1978, 1984, 1992, 1998, 2004, 2016, 2026, 2034, 2042, 2049, 2057, 2065, 2071, 2077, 2083, 2091, 2098, 2104, 2110, 2121, 2127, 2136, 2144, 2152, 2159, 2166, 2172, 2182, 2189, 2195, 2201, 2214, 2223, 2229, 2238, 2244, 2252, 2260, 2266, 2272, 2278, 2285, 2291, 2301, 2311, 2317, 2323, 2334, 2340, 2346, 2352, 2360, 2369, 2375, 2383, 2394, 2402, 2410, 2416, 2424, 2433, 2439, 2447, 2453, 2459, 2468, 2478, 2489, 2495, 2501, 2513, 2520, 2526, 2539, 2545, 2551, 2557, 2563, 2571, 2578, 2584, 2594, 2600, 2607, 2613, 2623, 2630, 2636, 2642, 2648, 2654, 2662, 2668, 2674, 2680, 2686, 2696, 2703, 2709, 2718, 2726, 2732, 2740, 2746, 2752, 2758, 2764, 2772, 2780, 2786, 2794, 2805, 2813, 2819, 2825, 2832, 2841, 2847, 2853, 2861, 2871, 2881, 2887, 2901, 2907, 2915, 2925, 2935, 2943, 2950, 2962, 2971, 2985, 2994, 3003, 3011, 3019, 3025, 3032, 3038, 3044, 3052, 3062, 3070, 3080, 3086, 3093, 3102, 3110, 3118, 3124, 3131, 3141, 3149, 3157, 3166, 3175, 3188, 3194, 3200, 3206, 3212, 3220, 3228, 3236, 3245, 3251, 3257, 3267, 3275, 3298, 3304, 3314, 3324, 3337, 3343, 3349, 3359, 3368, 3375, 3382, 3390, 3398, 3406, 3412, 3420, 3427, 3437, 3443, 3449, 3457, 3463, 3469, 3479, 3489, 3495, 3502, 3508, 3516, 3526, 3534, 3546, 3560, 3567, 3573, 3583, 3594, 3601, 3607, 3613, 3621, 3631, 3637, 3643, 3649, 3656, 3663, 3669, 3677, 3683, 3691, 3697, 3703, 3710, 3718, 3727, 3737, 3743, 3753, 3764, 3770, 3776, 3784, 3794, 3802, 3809, 3817, 3825, 3831, 3842, 3852, 3858, 3870, 3876, 3884, 3890, 3897, 3903, 3916, 3924, 3930, 3938, 3945, 3951, 3957, 3965, 3973, 3979, 3986, 3993, 4001, 4013, 4019, 4027, 4035, 4041, 4049, 4056, 4063, 4075, 4085, 4091, 4097, 4104, 4110, 4122, 4129, 4139, 4149, 4157, 4163, 4171, 4177, 4183, 4194, 4200, 4208, 4214, 4221, 4227, 4244, 4252, 4260, 4267, 4273, 4280, 4292, 4304, 4310, 4319, 4327, 4337, 4344, 4350, 4357, 4363, 4372, 4378, 4386, 4396, 4406, 4413, 4422, 4430, 4437, 4446, 4458, 4465, 4474, 4482, 4506, 4514, 4521, 4543, 4550, 4556, 4564, 4572, 4583, 4591, 4600, 4613, 4622, 4630, 4637, 4647, 4672, 4678, 4687, 4697, 4703, 4709, 4715, 4722, 4730, 4743, 4751, 4757, 4768, 4775, 4781, 4787, 4793, 4799, 4809, 4821, 4836, 4848, 4854, 4873, 4881, 4900, 4911, 4918, 4926, 4935, 4941, 4947, 4956, 4965, 4972, 4979, 4993, 5000, 5008, 5018, 5028, 5034, 5047, 5059, 5065, 5076, 5085, 5091, 5106, 5124, 5133, 5140, 5153, 5164, 5173, 5179, 5192, 5201, 5208, 5218, 5226, 5233, 5239, 5247, 5254, 5260, 5269, 5294, 5301, 5307, 5314, 5321, 5328, 5340, 5346, 5360, 5369, 5380, 5387, 5393, 5402, 5410, 5424, 5433, 5444, 5450, 5460, 5470, 5477, 5483, 5530, 5536, 5542, 5549, 5556, 5568, 5574, 5589, 5596, 5607, 5613, 5620, 5629, 5637, 5648, 5660, 5671, 5677, 5686, 5693, 5701, 5715, 5723, 5742, 5748, 5755, 5761, 5767, 5773, 5779, 5786, 5792, 5798, 5809, 5815, 5822, 5828, 5835, 5846, 5854, 5863, 5869, 5879, 5888, 5899, 5906, 5912, 5923, 5939, 5945, 5951, 5960, 5967, 5974, 5981, 5990, 5997, 6003, 6009, 6017, 6027, 6033, 6039, 6045, 6056, 6064, 6071, 6077, 6085, 6100, 6106, 6117, 6125, 6135, 6143, 6153, 6161, 6170, 6186, 6193, 6200, 6206, 6221, 6246, 6254, 6261, 6269, 6275, 6290, 6298, 6306, 6312, 6320, 6330, 6340, 6348, 6356, 6367, 6374, 6381, 6391, 6400, 6412, 6418, 6427, 6434, 6441, 6447, 6455, 6464, 6475, 6491, 6499, 6507, 6515, 6530, 6541, 6547, 6553, 6565, 6574, 6580, 6595, 6602, 6609, 6616, 6625, 6633, 6646, 6664, 6681, 6689, 6698, 6707, 6715, 6721, 6729, 6748, 6754, 6763, 6771, 6781, 6787, 6794, 6803, 6811, 6817, 6828, 6835, 6842, 6848, 6855, 6863, 6869, 6876, 6886, 6895, 6906, 6912, 6920, 6930, 6939, 6945, 6962, 6974, 6980, 6990, 6999, 7011, 7018, 7026, 7035, 7044, 7050, 7056, 7067, 7075, 7085, 7096, 7113, 7125, 7133, 7142, 7153, 7170, 7176, 7183, 7190, 7199, 7206, 7212, 7219, 7225, 7238, 7246, 7258, 7270, 7276, 7286, 7293, 7305, 7318, 7325, 7333, 7350, 7361, 7367, 7376, 7382, 7389, 7396, 7403, 7417, 7427, 7433, 7443, 7449, 7464, 7476, 7486, 7495, 7502, 7522, 7537, 7549, 7557, 7563, 7580, 7593, 7604, 7611, 7623, 7635, 7641, 7652, 7669, 7675, 7692, 7698, 7714, 7722, 7738, 7761, 7770, 7784, 7793, 7799, 7808, 7816, 7823, 7833, 7844, 7850, 7858, 7870, 7876, 7886, 7895, 7901, 7910, 7919, 7934, 7942, 7948, 7956, 7966, 7978, 7987, 7996, 8002, 8014, 8021, 8028, 8040, 8047, 8065, 8073, 8082, 8100, 8110, 8116, 8130, 8145, 8156, 8169, 8179, 8186, 8192, 8201, 8207, 8219, 8228, 8241, 8249, 8256, 8262, 8271, 8279, 8287, 8299, 8312, 8319, 8325, 8331, 8342, 8349, 8371, 8379, 8387, 8396, 8404, 8411, 8420, 8437, 8457, 8474, 8486, 8492, 8500, 8507, 8518, 8526, 8541, 8548, 8558, 8568, 8578, 8588, 8596, 8604, 8613, 8620, 8632, 8641, 8649, 8658, 8664, 8670, 8683, 8690, 8700, 8718, 8726, 8736, 8746, 8762, 8771, 8777, 8785, 8793, 8799, 8805, 8812, 8818, 8827, 8835, 8844, 8850, 8857, 8863, 8886, 8897, 8904, 8912, 8919, 8925, 8932, 8945, 8953, 8967, 8975, 8982, 8995, 9003, 9016, 9023, 9029, 9048, 9063, 9072, 9083, 9090, 9096, 9110, 9119, 9125, 9134, 9144, 9161, 9167, 9180, 9189, 9205, 9212, 9222, 9231, 9240, 9249, 9263, 9269, 9275, 9283, 9290, 9308, 9314, 9328, 9336, 9343, 9359, 9366, 9376, 9382, 9391, 9397, 9408, 9417, 9428, 9434, 9442, 9457, 9467, 9475, 9487, 9495, 9502, 9515, 9524, 9533, 9541, 9547, 9562, 9569, 9583, 9591, 9599, 9606, 9612, 9618, 9624, 9631, 9637, 9644, 9650, 9657, 9666, 9674, 9683, 9689, 9696, 9707, 9725, 9747, 9756, 9764, 9770, 9776, 9788, 9809, 9815, 9825, 9831, 9838, 9854, 9862, 9870, 9878, 9887, 9896, 9902, 9908, 9915, 9924, 9930, 9936, 9946, 9954, 9969, 9984, 9990, 10001, 10007, 10013, 10020, 10028, 10038, 10049, 10056, 10064, 10072, 10079, 10090, 10096, 10111, 10126, 10134, 10140, 10152, 10170, 10182, 10196, 10214, 10222, 10230, 10241, 10249, 10263, 10271, 10280, 10292, 10305, 10316, 10322, 10328, 10336, 10344, 10351, 10362, 10370, 10384, 10397, 10408, 10423, 10431]",0.003,0.007
GreatBarbet1,"[1900, 3700]","[87, 124, 167, 205, 248, 329, 377, 412, 458, 493, 535, 575, 614, 697, 739, 862, 902, 947, 983, 1021, 1153, 1184, 1228, 1430, 1469, 1513, 1591, 1641, 1672, 1714, 1762, 1794, 1882, 2046, 2185, 2806, 3437, 3529, 3653]","[86, 123, 166, 204, 247, 328, 376, 411, 457, 492, 534, 574, 613, 696, 738, 861, 901, 946, 982, 1020, 1152, 1183, 1227, 1429, 1468, 1512, 1590, 1640, 1671, 1713, 1761, 1793, 1881, 2045, 2184, 2805, 3436, 3528, 3652]",0.14,0.38
Herring,[],"[58, 120, 193, 251, 314, 375, 444, 506, 570, 633, 699, 761, 826, 888, 957, 1017, 1084, 1144, 1212, 1274, 1335, 1400, 1467, 1529, 1596, 1657, 1722, 1784, 1851, 1914, 1977, 2039, 2105, 2169, 2238, 2299, 2365, 2425, 2493, 2553, 2620, 2681, 2746, 2809, 2885, 2938, 3004, 3066, 3129, 3192, 3259, 3321, 3388, 3449, 3513, 3576, 3642, 3705, 3772, 3833, 3897, 3960, 4031, 4089, 4157, 4218, 4284, 4346, 4413, 4474, 4538, 4601, 4669, 4729, 4796, 4857, 4924, 4985]","[57, 119, 192, 250, 313, 374, 443, 505, 569, 632, 698, 760, 825, 887, 956, 1016, 1083, 1143, 1211, 1273, 1334, 1399, 1466, 1528, 1595, 1656, 1721, 1783, 1850, 1913, 1976, 2038, 2104, 2168, 2237, 2298, 2364, 2424, 2492, 2552, 2619, 2680, 2745, 2808, 2884, 2937, 3003, 3065, 3128, 3191, 3258, 3320, 3387, 3448, 3512, 3575, 3641, 3704, 3771, 3832, 3896, 3959, 4030, 4088, 4156, 4217, 4283, 4345, 4412, 4473, 4537, 4600, 4668, 4728, 4795, 4856, 4923, 4984]",0.025,0.015
InlineSkate,"[1058, 2704]","[68, 226, 313, 395, 469, 547, 666, 783, 899, 1010, 1055, 1123, 1239, 1361, 1480, 1596, 1717, 1833, 1947, 2072, 2178, 2230, 2303, 2432, 2540, 2692, 2768, 2892, 3045, 3142, 3254, 3362, 3517, 3603, 3747, 3832, 3965, 4072, 4211, 4302, 4433, 4541, 4678, 4774]","[67, 225, 312, 394, 468, 546, 665, 782, 898, 1009, 1054, 1122, 1238, 1360, 1479, 1595, 1716, 1832, 1946, 2071, 2177, 2229, 2302, 2431, 2539, 2691, 2767, 2891, 3044, 3141, 3253, 3361, 3516, 3602, 3746, 3831, 3964, 4071, 4210, 4301, 4432, 4540, 4677, 4773]",0.125,0.096
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
