dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[163, 454, 733, 1051, 1309, 1615, 1896, 2205, 2470, 2744, 3072, 3320]","[162, 453, 732, 1050, 1308, 1614, 1895, 2204, 2469, 2743, 3071, 3319]",0.143,0.095
EEGRat,[1000],[],[],0.667,0.5
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]","[1400, 3175, 5249]","[1399, 3174, 5248]",0.25,0.571
GrandMalSeizures2,[4550],"[2, 10, 16, 23, 29, 35, 44, 51, 57, 66, 72, 82, 88, 97, 105, 116, 123, 129, 135, 146, 152, 160, 168, 176, 182, 188, 195, 201, 209, 219, 225, 235, 242, 248, 254, 260, 266, 272, 286, 292, 300, 306, 314, 320, 330, 339, 346, 352, 358, 364, 372, 378, 384, 392, 402, 412, 418, 424, 435, 443, 451, 457, 465, 472, 478, 484, 495, 502, 508, 518, 528, 534, 540, 546, 555, 561, 568, 574, 585, 593, 599, 608, 618, 624, 632, 640, 648, 654, 660, 666, 672, 678, 686, 694, 702, 708, 714, 721, 727, 738, 744, 750, 756, 762, 771, 777, 783, 793, 800, 806, 812, 818, 827, 835, 841, 847, 853, 861, 873, 879, 890, 896, 904, 911, 919, 928, 934, 941, 950, 956, 965, 971, 981, 987, 993, 1004, 1012, 1018, 1024, 1035, 1041, 1047, 1055, 1061, 1072, 1078, 1084, 1093, 1099, 1105, 1117, 1123, 1129, 1143, 1153, 1164, 1174, 1184, 1192, 1202, 1213, 1219, 1225, 1233, 1242, 1248, 1255, 1264, 1271, 1279, 1286, 1292, 1301, 1307, 1317, 1324, 1332, 1339, 1349, 1357, 1363, 1371, 1379, 1385, 1391, 1397, 1405, 1415, 1425, 1433, 1439, 1445, 1451, 1457, 1463, 1471, 1477, 1485, 1491, 1500, 1506, 1520, 1528, 1534, 1540, 1548, 1554, 1568, 1574, 1580, 1589, 1597, 1607, 1613, 1621, 1627, 1633, 1641, 1650, 1656, 1663, 1669, 1675, 1683, 1689, 1698, 1704, 1710, 1716, 1724, 1732, 1745, 1751, 1762, 1768, 1777, 1785, 1791, 1797, 1808, 1814, 1822, 1831, 1840, 1849, 1858, 1864, 1871, 1883, 1891, 1898, 1906, 1912, 1920, 1926, 1932, 1942, 1948, 1957, 1965, 1973, 1979, 1985, 1993, 1999, 2005, 2012, 2022, 2030, 2036, 2043, 2050, 2058, 2066, 2073, 2081, 2087, 2095, 2106, 2112, 2120, 2128, 2140, 2148, 2154, 2167, 2173, 2186, 2195, 2205, 2216, 2224, 2230, 2239, 2245, 2254, 2262, 2270, 2277, 2290, 2296, 2302, 2311, 2317, 2327, 2338, 2347, 2353, 2361, 2370, 2377, 2383, 2389, 2395, 2403, 2411, 2417, 2425, 2434, 2440, 2448, 2454, 2460, 2469, 2479, 2490, 2498, 2517, 2523, 2532, 2540, 2546, 2553, 2561, 2567, 2573, 2580, 2586, 2592, 2601, 2608, 2614, 2624, 2631, 2637, 2644, 2655, 2663, 2672, 2678, 2687, 2697, 2704, 2710, 2719, 2727, 2733, 2741, 2747, 2753, 2760, 2773, 2781, 2787, 2795, 2806, 2816, 2825, 2833, 2839, 2848, 2854, 2862, 2872, 2882, 2893, 2902, 2908, 2916, 2933, 2939, 2945, 2951, 2963, 2972, 2985, 2995, 3003, 3016, 3024, 3033, 3039, 3045, 3054, 3062, 3075, 3088, 3097, 3103, 3111, 3119, 3125, 3132, 3142, 3150, 3158, 3167, 3176, 3189, 3196, 3203, 3209, 3216, 3225, 3233, 3242, 3249, 3257, 3267, 3276, 3300, 3308, 3314, 3324, 3339, 3347, 3357, 3369, 3375, 3381, 3387, 3395, 3403, 3415, 3424, 3430, 3438, 3447, 3455, 3465, 3471, 3479, 3485, 3493, 3499, 3506, 3512, 3522, 3530, 3538, 3547, 3562, 3568, 3575, 3581, 3587, 3595, 3602, 3608, 3614, 3622, 3632, 3638, 3644, 3650, 3658, 3664, 3670, 3678, 3684, 3692, 3698, 3704, 3711, 3719, 3728, 3739, 3746, 3754, 3766, 3774, 3785, 3795, 3803, 3810, 3818, 3826, 3837, 3843, 3852, 3858, 3871, 3877, 3885, 3891, 3899, 3905, 3917, 3925, 3931, 3940, 3949, 3955, 3965, 3973, 3984, 3991, 4001, 4014, 4020, 4031, 4038, 4046, 4057, 4064, 4076, 4087, 4094, 4103, 4114, 4122, 4130, 4140, 4154, 4173, 4180, 4186, 4195, 4202, 4209, 4219, 4229, 4245, 4253, 4261, 4268, 4274, 4281, 4309, 4321, 4327, 4333, 4339, 4346, 4353, 4360, 4373, 4379, 4386, 4397, 4407, 4422, 4432, 4438, 4451, 4459, 4466, 4474, 4484, 4501, 4508, 4515, 4522, 4545, 4552, 4558, 4565, 4572, 4584, 4592, 4601, 4616, 4626, 4636, 4648, 4674, 4704, 4710, 4716, 4724, 4731, 4744, 4752, 4759, 4774, 4782, 4790, 4800, 4810, 4838, 4849, 4858, 4875, 4882, 4901, 4912, 4919, 4927, 4936, 4945, 4961, 4970, 4978, 5003, 5010, 5026, 5038, 5048, 5071, 5078, 5109, 5128, 5134, 5149, 5174, 5193, 5204, 5214, 5234, 5248, 5256, 5271, 5277, 5283, 5289, 5295, 5301, 5328, 5334, 5341, 5347, 5361, 5371, 5388, 5412, 5421, 5453, 5464, 5471, 5478, 5484, 5490, 5535, 5548, 5556, 5562, 5568, 5590, 5597, 5608, 5621, 5635, 5649, 5675, 5691, 5702, 5717, 5723, 5730, 5747, 5754, 5760, 5768, 5774, 5780, 5787, 5793, 5803, 5810, 5821, 5827, 5836, 5852, 5864, 5870, 5882, 5892, 5900, 5907, 5914, 5924, 5936, 5948, 5957, 5973, 5986, 5998, 6004, 6010, 6017, 6032, 6038, 6044, 6050, 6057, 6066, 6073, 6092, 6103, 6111, 6118, 6126, 6145, 6154, 6162, 6172, 6194, 6200, 6212, 6219, 6225, 6231, 6239, 6251, 6259, 6270, 6276, 6287, 6299, 6307, 6331, 6347, 6353, 6370, 6379, 6392, 6416, 6441, 6449, 6455, 6463, 6481, 6494, 6503, 6512, 6522, 6533, 6548, 6555, 6569, 6584, 6597, 6610, 6620, 6628, 6639, 6647, 6666, 6682, 6712, 6730, 6748, 6756, 6764, 6772, 6783, 6795, 6807, 6831, 6845, 6863, 6887, 6901, 6926, 6936, 6947, 6963, 6981, 6992, 7000, 7012, 7019, 7027, 7036, 7045, 7051, 7068, 7077, 7099, 7119, 7126, 7134, 7148, 7171, 7192, 7200, 7207, 7213, 7220, 7243, 7249, 7259, 7268, 7277, 7287, 7294, 7306, 7320, 7338, 7372, 7388, 7397, 7405, 7413, 7422, 7429, 7452, 7458, 7465, 7478, 7485, 7497, 7526, 7534, 7550, 7559, 7566, 7582, 7595, 7606, 7612, 7624, 7630, 7636, 7643, 7657, 7678, 7696, 7725, 7740, 7762, 7768, 7776, 7785, 7794, 7810, 7819, 7835, 7847, 7858, 7877, 7893, 7912, 7920, 7935, 7949, 7958, 7967, 7976, 7988, 8009, 8016, 8023, 8044, 8055, 8068, 8113, 8131, 8149, 8157, 8187, 8202, 8208, 8220, 8229, 8242, 8266, 8280, 8291, 8301, 8324, 8350, 8372, 8384, 8392, 8406, 8412, 8418, 8432, 8439, 8458, 8494, 8501, 8510, 8526, 8550, 8562, 8569, 8576, 8584, 8597, 8609, 8617, 8633, 8647, 8659, 8674, 8691, 8706, 8721, 8743, 8749, 8760, 8775, 8786, 8794, 8804, 8813, 8822, 8839, 8852, 8858, 8864, 8870, 8887, 8894, 8901, 8907, 8913, 8927, 8947, 8955, 8975, 8982, 8995, 9005, 9017, 9026, 9035, 9044, 9064, 9078, 9084, 9094, 9100, 9122, 9146, 9168, 9181, 9193, 9206, 9227, 9233, 9244, 9251, 9264, 9277, 9291, 9308, 9322, 9331, 9344, 9377, 9392, 9399, 9411, 9420, 9429, 9437, 9448, 9468, 9477, 9489, 9505, 9550, 9571, 9584, 9593, 9608, 9625, 9632, 9639, 9651, 9658, 9664, 9690, 9698, 9726, 9738, 9748, 9762, 9790, 9805, 9839, 9846, 9855, 9864, 9871, 9879, 9903, 9909, 9917, 9925, 9932, 9940, 9951, 9987, 10007, 10013, 10024, 10059, 10081, 10093, 10101, 10114, 10130, 10143, 10153, 10183, 10215, 10226, 10250, 10265, 10281, 10287, 10323, 10331, 10353, 10371, 10386, 10428]","[1, 9, 15, 22, 28, 34, 43, 50, 56, 65, 71, 81, 87, 96, 104, 115, 122, 128, 134, 145, 151, 159, 167, 175, 181, 187, 194, 200, 208, 218, 224, 234, 241, 247, 253, 259, 265, 271, 285, 291, 299, 305, 313, 319, 329, 338, 345, 351, 357, 363, 371, 377, 383, 391, 401, 411, 417, 423, 434, 442, 450, 456, 464, 471, 477, 483, 494, 501, 507, 517, 527, 533, 539, 545, 554, 560, 567, 573, 584, 592, 598, 607, 617, 623, 631, 639, 647, 653, 659, 665, 671, 677, 685, 693, 701, 707, 713, 720, 726, 737, 743, 749, 755, 761, 770, 776, 782, 792, 799, 805, 811, 817, 826, 834, 840, 846, 852, 860, 872, 878, 889, 895, 903, 910, 918, 927, 933, 940, 949, 955, 964, 970, 980, 986, 992, 1003, 1011, 1017, 1023, 1034, 1040, 1046, 1054, 1060, 1071, 1077, 1083, 1092, 1098, 1104, 1116, 1122, 1128, 1142, 1152, 1163, 1173, 1183, 1191, 1201, 1212, 1218, 1224, 1232, 1241, 1247, 1254, 1263, 1270, 1278, 1285, 1291, 1300, 1306, 1316, 1323, 1331, 1338, 1348, 1356, 1362, 1370, 1378, 1384, 1390, 1396, 1404, 1414, 1424, 1432, 1438, 1444, 1450, 1456, 1462, 1470, 1476, 1484, 1490, 1499, 1505, 1519, 1527, 1533, 1539, 1547, 1553, 1567, 1573, 1579, 1588, 1596, 1606, 1612, 1620, 1626, 1632, 1640, 1649, 1655, 1662, 1668, 1674, 1682, 1688, 1697, 1703, 1709, 1715, 1723, 1731, 1744, 1750, 1761, 1767, 1776, 1784, 1790, 1796, 1807, 1813, 1821, 1830, 1839, 1848, 1857, 1863, 1870, 1882, 1890, 1897, 1905, 1911, 1919, 1925, 1931, 1941, 1947, 1956, 1964, 1972, 1978, 1984, 1992, 1998, 2004, 2011, 2021, 2029, 2035, 2042, 2049, 2057, 2065, 2072, 2080, 2086, 2094, 2105, 2111, 2119, 2127, 2139, 2147, 2153, 2166, 2172, 2185, 2194, 2204, 2215, 2223, 2229, 2238, 2244, 2253, 2261, 2269, 2276, 2289, 2295, 2301, 2310, 2316, 2326, 2337, 2346, 2352, 2360, 2369, 2376, 2382, 2388, 2394, 2402, 2410, 2416, 2424, 2433, 2439, 2447, 2453, 2459, 2468, 2478, 2489, 2497, 2516, 2522, 2531, 2539, 2545, 2552, 2560, 2566, 2572, 2579, 2585, 2591, 2600, 2607, 2613, 2623, 2630, 2636, 2643, 2654, 2662, 2671, 2677, 2686, 2696, 2703, 2709, 2718, 2726, 2732, 2740, 2746, 2752, 2759, 2772, 2780, 2786, 2794, 2805, 2815, 2824, 2832, 2838, 2847, 2853, 2861, 2871, 2881, 2892, 2901, 2907, 2915, 2932, 2938, 2944, 2950, 2962, 2971, 2984, 2994, 3002, 3015, 3023, 3032, 3038, 3044, 3053, 3061, 3074, 3087, 3096, 3102, 3110, 3118, 3124, 3131, 3141, 3149, 3157, 3166, 3175, 3188, 3195, 3202, 3208, 3215, 3224, 3232, 3241, 3248, 3256, 3266, 3275, 3299, 3307, 3313, 3323, 3338, 3346, 3356, 3368, 3374, 3380, 3386, 3394, 3402, 3414, 3423, 3429, 3437, 3446, 3454, 3464, 3470, 3478, 3484, 3492, 3498, 3505, 3511, 3521, 3529, 3537, 3546, 3561, 3567, 3574, 3580, 3586, 3594, 3601, 3607, 3613, 3621, 3631, 3637, 3643, 3649, 3657, 3663, 3669, 3677, 3683, 3691, 3697, 3703, 3710, 3718, 3727, 3738, 3745, 3753, 3765, 3773, 3784, 3794, 3802, 3809, 3817, 3825, 3836, 3842, 3851, 3857, 3870, 3876, 3884, 3890, 3898, 3904, 3916, 3924, 3930, 3939, 3948, 3954, 3964, 3972, 3983, 3990, 4000, 4013, 4019, 4030, 4037, 4045, 4056, 4063, 4075, 4086, 4093, 4102, 4113, 4121, 4129, 4139, 4153, 4172, 4179, 4185, 4194, 4201, 4208, 4218, 4228, 4244, 4252, 4260, 4267, 4273, 4280, 4308, 4320, 4326, 4332, 4338, 4345, 4352, 4359, 4372, 4378, 4385, 4396, 4406, 4421, 4431, 4437, 4450, 4458, 4465, 4473, 4483, 4500, 4507, 4514, 4521, 4544, 4551, 4557, 4564, 4571, 4583, 4591, 4600, 4615, 4625, 4635, 4647, 4673, 4703, 4709, 4715, 4723, 4730, 4743, 4751, 4758, 4773, 4781, 4789, 4799, 4809, 4837, 4848, 4857, 4874, 4881, 4900, 4911, 4918, 4926, 4935, 4944, 4960, 4969, 4977, 5002, 5009, 5025, 5037, 5047, 5070, 5077, 5108, 5127, 5133, 5148, 5173, 5192, 5203, 5213, 5233, 5247, 5255, 5270, 5276, 5282, 5288, 5294, 5300, 5327, 5333, 5340, 5346, 5360, 5370, 5387, 5411, 5420, 5452, 5463, 5470, 5477, 5483, 5489, 5534, 5547, 5555, 5561, 5567, 5589, 5596, 5607, 5620, 5634, 5648, 5674, 5690, 5701, 5716, 5722, 5729, 5746, 5753, 5759, 5767, 5773, 5779, 5786, 5792, 5802, 5809, 5820, 5826, 5835, 5851, 5863, 5869, 5881, 5891, 5899, 5906, 5913, 5923, 5935, 5947, 5956, 5972, 5985, 5997, 6003, 6009, 6016, 6031, 6037, 6043, 6049, 6056, 6065, 6072, 6091, 6102, 6110, 6117, 6125, 6144, 6153, 6161, 6171, 6193, 6199, 6211, 6218, 6224, 6230, 6238, 6250, 6258, 6269, 6275, 6286, 6298, 6306, 6330, 6346, 6352, 6369, 6378, 6391, 6415, 6440, 6448, 6454, 6462, 6480, 6493, 6502, 6511, 6521, 6532, 6547, 6554, 6568, 6583, 6596, 6609, 6619, 6627, 6638, 6646, 6665, 6681, 6711, 6729, 6747, 6755, 6763, 6771, 6782, 6794, 6806, 6830, 6844, 6862, 6886, 6900, 6925, 6935, 6946, 6962, 6980, 6991, 6999, 7011, 7018, 7026, 7035, 7044, 7050, 7067, 7076, 7098, 7118, 7125, 7133, 7147, 7170, 7191, 7199, 7206, 7212, 7219, 7242, 7248, 7258, 7267, 7276, 7286, 7293, 7305, 7319, 7337, 7371, 7387, 7396, 7404, 7412, 7421, 7428, 7451, 7457, 7464, 7477, 7484, 7496, 7525, 7533, 7549, 7558, 7565, 7581, 7594, 7605, 7611, 7623, 7629, 7635, 7642, 7656, 7677, 7695, 7724, 7739, 7761, 7767, 7775, 7784, 7793, 7809, 7818, 7834, 7846, 7857, 7876, 7892, 7911, 7919, 7934, 7948, 7957, 7966, 7975, 7987, 8008, 8015, 8022, 8043, 8054, 8067, 8112, 8130, 8148, 8156, 8186, 8201, 8207, 8219, 8228, 8241, 8265, 8279, 8290, 8300, 8323, 8349, 8371, 8383, 8391, 8405, 8411, 8417, 8431, 8438, 8457, 8493, 8500, 8509, 8525, 8549, 8561, 8568, 8575, 8583, 8596, 8608, 8616, 8632, 8646, 8658, 8673, 8690, 8705, 8720, 8742, 8748, 8759, 8774, 8785, 8793, 8803, 8812, 8821, 8838, 8851, 8857, 8863, 8869, 8886, 8893, 8900, 8906, 8912, 8926, 8946, 8954, 8974, 8981, 8994, 9004, 9016, 9025, 9034, 9043, 9063, 9077, 9083, 9093, 9099, 9121, 9145, 9167, 9180, 9192, 9205, 9226, 9232, 9243, 9250, 9263, 9276, 9290, 9307, 9321, 9330, 9343, 9376, 9391, 9398, 9410, 9419, 9428, 9436, 9447, 9467, 9476, 9488, 9504, 9549, 9570, 9583, 9592, 9607, 9624, 9631, 9638, 9650, 9657, 9663, 9689, 9697, 9725, 9737, 9747, 9761, 9789, 9804, 9838, 9845, 9854, 9863, 9870, 9878, 9902, 9908, 9916, 9924, 9931, 9939, 9950, 9986, 10006, 10012, 10023, 10058, 10080, 10092, 10100, 10113, 10129, 10142, 10152, 10182, 10214, 10225, 10249, 10264, 10280, 10286, 10322, 10330, 10352, 10370, 10385, 10427]",0.004,0.007
GreatBarbet1,"[1900, 3700]",[2104],[2103],0.4,0.665
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]","[84, 235, 336, 3057, 3527, 3618, 3760, 3843]","[83, 234, 335, 3056, 3526, 3617, 3759, 3842]",0.167,0.461
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
