dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[102, 203, 384, 486, 645, 787, 939, 1253, 1365, 1567, 1668, 1793, 1934, 2085, 2381, 2503, 2637, 2738, 2839, 3279]","[201, 302, 483, 585, 744, 886, 1038, 1352, 1464, 1666, 1767, 1892, 2033, 2184, 2480, 2602, 2736, 2837, 2938, 3378]",0.091,0.127
EEGRat,[1000],"[63, 114, 165, 218, 272, 359, 424, 475, 526, 577, 640, 692, 743, 836, 925, 983, 1060, 1203, 1254, 1318, 1369, 1432, 1494, 1558, 1619, 1677, 1728, 1815, 1873]","[112, 163, 214, 267, 321, 408, 473, 524, 575, 626, 689, 741, 792, 885, 974, 1032, 1109, 1252, 1303, 1367, 1418, 1481, 1543, 1607, 1668, 1726, 1777, 1864, 1922]",0.125,0.118
EEGRat2,[1000],"[60, 203, 254, 318, 369, 432, 494, 558, 619, 677, 728, 815, 873, 952, 1006, 1094, 1159, 1210, 1273, 1455, 1555, 1607, 1730, 1824]","[109, 252, 303, 367, 418, 481, 543, 607, 668, 726, 777, 864, 922, 1001, 1055, 1143, 1208, 1259, 1322, 1504, 1604, 1656, 1779, 1873]",0.148,0.162
FaceFour,"[2800, 5600, 6650]","[1305, 1558, 2687, 3385, 4438, 6886]","[1554, 1807, 2936, 3634, 4687, 7135]",0.182,0.515
GrandMalSeizures2,[4550],"[50, 101, 152, 203, 254, 305, 356, 407, 458, 509, 560, 611, 662, 713, 764, 815, 866, 917, 968, 1019, 1070, 1121, 1172, 1223, 1274, 1325, 1376, 1427, 1478, 1529, 1580, 1631, 1682, 1733, 1784, 1835, 1886, 1937, 1988, 2039, 2090, 2141, 2192, 2243, 2294, 2345, 2396, 2447, 2498, 2549, 2600, 2651, 2702, 2753, 2804, 2855, 2906, 2957, 3008, 3059, 3110, 3161, 3212, 3263, 3314, 3365, 3416, 3467, 3518, 3569, 3620, 3671, 3722, 3773, 3824, 3875, 3926, 3977, 4028, 4079, 4130, 4181, 4232, 4283, 4334, 4385, 4436, 4487, 4538, 4589, 4640, 4691, 4742, 4793, 4844, 4895, 4946, 4997, 5048, 5099, 5150, 5201, 5252, 5303, 5354, 5405, 5456, 5507, 5558, 5609, 5660, 5711, 5762, 5813, 5864, 5915, 5966, 6017, 6068, 6119, 6170, 6221, 6272, 6323, 6374, 6425, 6476, 6527, 6578, 6629, 6680, 6731, 6782, 6833, 6884, 6935, 6986, 7037, 7088, 7139, 7190, 7241, 7292, 7343, 7394, 7445, 7496, 7547, 7598, 7649, 7700, 7751, 7802, 7853, 7904, 7955, 8006, 8057, 8108, 8159, 8210, 8261, 8312, 8363, 8414, 8465, 8516, 8567, 8618, 8669, 8720, 8771, 8822, 8873, 8924, 8975, 9026, 9077, 9128, 9179, 9230, 9281, 9332, 9383, 9434, 9485, 9536, 9587, 9638, 9689, 9740, 9791, 9842, 9893, 9944, 9995, 10046, 10097, 10148, 10199, 10250, 10301, 10352]","[99, 150, 201, 252, 303, 354, 405, 456, 507, 558, 609, 660, 711, 762, 813, 864, 915, 966, 1017, 1068, 1119, 1170, 1221, 1272, 1323, 1374, 1425, 1476, 1527, 1578, 1629, 1680, 1731, 1782, 1833, 1884, 1935, 1986, 2037, 2088, 2139, 2190, 2241, 2292, 2343, 2394, 2445, 2496, 2547, 2598, 2649, 2700, 2751, 2802, 2853, 2904, 2955, 3006, 3057, 3108, 3159, 3210, 3261, 3312, 3363, 3414, 3465, 3516, 3567, 3618, 3669, 3720, 3771, 3822, 3873, 3924, 3975, 4026, 4077, 4128, 4179, 4230, 4281, 4332, 4383, 4434, 4485, 4536, 4587, 4638, 4689, 4740, 4791, 4842, 4893, 4944, 4995, 5046, 5097, 5148, 5199, 5250, 5301, 5352, 5403, 5454, 5505, 5556, 5607, 5658, 5709, 5760, 5811, 5862, 5913, 5964, 6015, 6066, 6117, 6168, 6219, 6270, 6321, 6372, 6423, 6474, 6525, 6576, 6627, 6678, 6729, 6780, 6831, 6882, 6933, 6984, 7035, 7086, 7137, 7188, 7239, 7290, 7341, 7392, 7443, 7494, 7545, 7596, 7647, 7698, 7749, 7800, 7851, 7902, 7953, 8004, 8055, 8106, 8157, 8208, 8259, 8310, 8361, 8412, 8463, 8514, 8565, 8616, 8667, 8718, 8769, 8820, 8871, 8922, 8973, 9024, 9075, 9126, 9177, 9228, 9279, 9330, 9381, 9432, 9483, 9534, 9585, 9636, 9687, 9738, 9789, 9840, 9891, 9942, 9993, 10044, 10095, 10146, 10197, 10248, 10299, 10350, 10401]",0.019,0.013
GreatBarbet1,"[1900, 3700]","[1829, 3690]","[2078, 3939]",0.667,0.966
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]","[281, 470, 1055, 2233, 2398, 2750, 3103, 3573, 3808, 4279]","[330, 519, 1104, 2282, 2447, 2799, 3152, 3622, 3857, 4328]",0.429,0.477
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[568, 639, 759, 855, 915, 990, 1047, 1191, 2025, 2076, 2129, 2191, 2261, 2371, 2575, 2667, 2850, 2979, 3087, 3154, 3221, 3291, 3342, 3399, 3507, 3558, 3615, 3709, 3794, 3858, 3915, 4023, 4074, 4131]","[617, 688, 808, 904, 964, 1039, 1096, 1240, 2074, 2125, 2178, 2240, 2310, 2420, 2624, 2716, 2899, 3028, 3136, 3203, 3270, 3340, 3391, 3448, 3556, 3607, 3664, 3758, 3843, 3907, 3964, 4072, 4123, 4180]",0.333,0.565
