dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[100, 205, 306, 407, 508, 641, 782, 883, 984, 1085, 1214, 1315, 1416, 1517, 1643, 1744, 1845, 1946, 2084, 2185, 2286, 2387, 2509, 2610, 2711, 2812, 2939, 3040, 3141, 3242]","[199, 304, 405, 506, 607, 740, 881, 982, 1083, 1184, 1313, 1414, 1515, 1616, 1742, 1843, 1944, 2045, 2183, 2284, 2385, 2486, 2608, 2709, 2810, 2911, 3038, 3139, 3240, 3341]",0.062,0.062
EEGRat,[1000],"[86, 163, 219, 272, 457, 508, 571, 657, 755, 928]","[135, 212, 268, 321, 506, 557, 620, 706, 804, 977]",0.154,0.559
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]",[],[],0.4,0.281
GrandMalSeizures2,[4550],"[4567, 4618, 4714, 4813, 4904, 4955, 5906, 6343, 6546, 6597, 6648, 6704, 7021, 7072, 7215, 7276, 7338, 7574, 7635, 8087, 8359, 8410, 8461, 8512, 8565, 8877, 8928, 8979, 9125, 9301, 9352, 9736, 9957, 10008, 10377]","[4616, 4667, 4763, 4862, 4953, 5004, 5955, 6392, 6595, 6646, 6697, 6753, 7070, 7121, 7264, 7325, 7387, 7623, 7684, 8136, 8408, 8459, 8510, 8561, 8614, 8926, 8977, 9028, 9174, 9350, 9401, 9785, 10006, 10057, 10426]",0.105,0.526
GreatBarbet1,"[1900, 3700]",[],[],0.5,0.355
Herring,[],"[559, 1582, 1838, 2221, 2862, 2989]","[608, 1631, 1887, 2270, 2911, 3038]",0.25,0.401
InlineSkate,"[1058, 2704]","[50, 153, 213, 264, 315, 376, 427, 529, 580, 646, 697, 762, 813, 879, 930, 981, 1032, 1104, 1155, 1220, 1276, 1327, 1378, 1436, 1513, 1584, 1635, 1686, 1737, 1815, 1871, 1956, 2023, 2089, 2141, 2201, 2282, 2333, 2387, 2450, 2522, 2578, 2670, 2721, 2772, 2823, 2875, 2931, 3023, 3074, 3125, 3176, 3238, 3289, 3342, 3398, 3526, 3577, 3628, 3679, 3823, 3889, 3947, 3998, 4049, 4100, 4151, 4232, 4283, 4334, 4416, 4467, 4525, 4604, 4763]","[99, 202, 262, 313, 364, 425, 476, 578, 629, 695, 746, 811, 862, 928, 979, 1030, 1081, 1153, 1204, 1269, 1325, 1376, 1427, 1485, 1562, 1633, 1684, 1735, 1786, 1864, 1920, 2005, 2072, 2138, 2190, 2250, 2331, 2382, 2436, 2499, 2571, 2627, 2719, 2770, 2821, 2872, 2924, 2980, 3072, 3123, 3174, 3225, 3287, 3338, 3391, 3447, 3575, 3626, 3677, 3728, 3872, 3938, 3996, 4047, 4098, 4149, 4200, 4281, 4332, 4383, 4465, 4516, 4574, 4653, 4812]",0.076,0.073
InsectEPG1,[3802],[4921],[5170],0.5,0.883
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
NogunGun,[3000],[],[],0.667,0.518
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[],[],0.286,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[136, 265, 392, 519, 607, 735, 1033, 2287, 2338, 2415, 2466, 2538, 2632, 3315, 4026, 4077, 4128, 4179, 4253, 4307, 4439, 4500, 4560, 4691, 4742, 4802, 4945, 5000, 5078, 5138, 5223, 5284, 5356, 5414, 5480, 5539, 5607, 5666, 5739, 5794, 5863, 5924, 5996, 6055, 6121, 6184, 6248, 6308]","[185, 314, 441, 568, 656, 784, 1082, 2336, 2387, 2464, 2515, 2587, 2681, 3364, 4075, 4126, 4177, 4228, 4302, 4356, 4488, 4549, 4609, 4740, 4791, 4851, 4994, 5049, 5127, 5187, 5272, 5333, 5405, 5463, 5529, 5588, 5656, 5715, 5788, 5843, 5912, 5973, 6045, 6104, 6170, 6233, 6297, 6357]",0.111,0.322
TiltECG,[25000],"[24308, 26504, 32990, 34011]","[25307, 27503, 33989, 35010]",0.286,0.77
ToeSegmentation1,[1385],"[158, 1510]","[207, 1559]",0.4,0.861
ToeSegmentation2,[1543],"[102, 153, 269, 320, 440, 491, 955, 1006, 1057, 1108, 1264, 1527, 1746, 2102, 2548, 2604, 2727, 2889]","[151, 202, 318, 369, 489, 540, 1004, 1055, 1106, 1157, 1313, 1576, 1795, 2151, 2597, 2653, 2776, 2938]",0.19,0.295
Trace,"[1443, 2955]",[],[],0.5,0.344
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
