dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[100, 221, 364, 507, 647, 794, 941, 1067, 1222, 1387, 1517, 1652, 1798, 1944, 2099, 2229, 2377, 2519, 2661, 2810, 2958, 3087, 3238]","[199, 320, 463, 606, 746, 893, 1040, 1166, 1321, 1486, 1616, 1751, 1897, 2043, 2198, 2328, 2476, 2618, 2760, 2909, 3057, 3186, 3337]",0.08,0.063
EEGRat,[1000],"[189, 468, 519, 579, 756, 934, 1011]","[238, 517, 568, 628, 805, 983, 1060]",0.4,0.634
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]",[],[],0.4,0.281
GrandMalSeizures2,[4550],"[50, 101, 152, 203, 254, 305, 356, 407, 458, 509, 560, 611, 662, 713, 764, 815, 868, 919, 970, 1021, 1072, 1124, 1175, 1228, 1279, 1330, 1382, 1433, 1485, 1536, 1587, 1638, 1689, 1740, 1791, 1842, 1894, 1945, 1996, 2047, 2098, 2149, 2200, 2251, 2302, 2353, 2404, 2456, 2507, 2558, 2611, 2662, 2713, 2764, 2815, 2866, 2917, 2968, 3019, 3070, 3121, 3172, 3223, 3274, 3325, 3376, 3428, 3479, 3530, 3581, 3632, 3683, 3734, 3785, 3836, 3887, 3938, 3989, 4040, 4091, 4142, 4193, 4244, 4295, 4346, 4397, 4448, 4499, 4550, 4601, 4652, 4703, 4754, 4805, 4856, 4907, 4958, 5009, 5060, 5111, 5166, 5217, 5271, 5322, 5373, 5427, 5485, 5539, 5590, 5641, 5696, 5747, 5798, 5849, 5900, 5951, 6002, 6061, 6112, 6163, 6214, 6271, 6325, 6376, 6427, 6481, 6532, 6583, 6635, 6687, 6738, 6789, 6840, 6891, 6942, 6993, 7044, 7095, 7152, 7203, 7254, 7305, 7356, 7410, 7461, 7512, 7563, 7614, 7665, 7716, 7768, 7831, 7882, 7933, 7984, 8035, 8086, 8137, 8189, 8240, 8291, 8342, 8393, 8444, 8495, 8546, 8597, 8649, 8703, 8758, 8809, 8860, 8911, 8962, 9014, 9065, 9116, 9169, 9223, 9274, 9325, 9377, 9430, 9481, 9537, 9588, 9639, 9690, 9741, 9792, 9845, 9897, 9948, 9999, 10050, 10103, 10154, 10205, 10256, 10308, 10359]","[99, 150, 201, 252, 303, 354, 405, 456, 507, 558, 609, 660, 711, 762, 813, 864, 917, 968, 1019, 1070, 1121, 1173, 1224, 1277, 1328, 1379, 1431, 1482, 1534, 1585, 1636, 1687, 1738, 1789, 1840, 1891, 1943, 1994, 2045, 2096, 2147, 2198, 2249, 2300, 2351, 2402, 2453, 2505, 2556, 2607, 2660, 2711, 2762, 2813, 2864, 2915, 2966, 3017, 3068, 3119, 3170, 3221, 3272, 3323, 3374, 3425, 3477, 3528, 3579, 3630, 3681, 3732, 3783, 3834, 3885, 3936, 3987, 4038, 4089, 4140, 4191, 4242, 4293, 4344, 4395, 4446, 4497, 4548, 4599, 4650, 4701, 4752, 4803, 4854, 4905, 4956, 5007, 5058, 5109, 5160, 5215, 5266, 5320, 5371, 5422, 5476, 5534, 5588, 5639, 5690, 5745, 5796, 5847, 5898, 5949, 6000, 6051, 6110, 6161, 6212, 6263, 6320, 6374, 6425, 6476, 6530, 6581, 6632, 6684, 6736, 6787, 6838, 6889, 6940, 6991, 7042, 7093, 7144, 7201, 7252, 7303, 7354, 7405, 7459, 7510, 7561, 7612, 7663, 7714, 7765, 7817, 7880, 7931, 7982, 8033, 8084, 8135, 8186, 8238, 8289, 8340, 8391, 8442, 8493, 8544, 8595, 8646, 8698, 8752, 8807, 8858, 8909, 8960, 9011, 9063, 9114, 9165, 9218, 9272, 9323, 9374, 9426, 9479, 9530, 9586, 9637, 9688, 9739, 9790, 9841, 9894, 9946, 9997, 10048, 10099, 10152, 10203, 10254, 10305, 10357, 10408]",0.02,0.012
GreatBarbet1,"[1900, 3700]",[],[],0.5,0.355
Herring,[],[2225],[2274],0.667,0.554
InlineSkate,"[1058, 2704]","[50, 212, 263, 380, 432, 533, 587, 647, 703, 761, 819, 881, 932, 984, 1105, 1156, 1219, 1278, 1329, 1380, 1446, 1540, 1591, 1642, 1693, 1744, 1816, 1876, 1960, 2029, 2090, 2283, 2334, 2396, 2453, 2524, 2580, 2675, 2726, 2805, 2878, 2937, 3026, 3077, 3128, 3183, 3242, 3293, 3344, 3402, 3527, 3578, 3629, 3822, 3948, 4042, 4093, 4177, 4229, 4280, 4337, 4419, 4471, 4525, 4670, 4760]","[99, 261, 312, 429, 481, 582, 636, 696, 752, 810, 868, 930, 981, 1033, 1154, 1205, 1268, 1327, 1378, 1429, 1495, 1589, 1640, 1691, 1742, 1793, 1865, 1925, 2009, 2078, 2139, 2332, 2383, 2445, 2502, 2573, 2629, 2724, 2775, 2854, 2927, 2986, 3075, 3126, 3177, 3232, 3291, 3342, 3393, 3451, 3576, 3627, 3678, 3871, 3997, 4091, 4142, 4226, 4278, 4329, 4386, 4468, 4520, 4574, 4719, 4809]",0.086,0.114
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
NogunGun,[3000],"[750, 1501, 2252, 3003, 3754, 4505, 5256, 6007]","[1499, 2250, 3001, 3752, 4503, 5254, 6005, 6756]",0.364,0.288
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[],[],0.286,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[2342, 2463, 2544, 2631, 3317, 3799, 4179, 4259, 4310, 4501, 4562, 4695, 4746, 4803, 5085, 5145, 5230, 5286, 5359, 5420, 5482, 5545, 5609, 5669, 5741, 5799, 5866, 5927, 5999, 6058, 6124, 6185, 6251, 6311]","[2391, 2512, 2593, 2680, 3366, 3848, 4228, 4308, 4359, 4550, 4611, 4744, 4795, 4852, 5134, 5194, 5279, 5335, 5408, 5469, 5531, 5594, 5658, 5718, 5790, 5848, 5915, 5976, 6048, 6107, 6173, 6234, 6300, 6360]",0.2,0.365
TiltECG,[25000],"[1000, 2001, 3002, 4003, 5004, 6005, 7006, 8007, 9008, 10009, 11010, 12011, 13012, 14013, 15014, 16015, 17016, 18018, 19019, 20021, 21022, 22023, 23024, 24025, 25026, 26027, 27028, 28029, 29030, 30031, 31032, 32033, 33034, 34035, 35036, 36037, 37038, 38039]","[1999, 3000, 4001, 5002, 6003, 7004, 8005, 9006, 10007, 11008, 12009, 13010, 14011, 15012, 16013, 17014, 18015, 19017, 20018, 21020, 22021, 23022, 24023, 25024, 26025, 27026, 28027, 29028, 30029, 31030, 32031, 33032, 34033, 35034, 36035, 37036, 38037, 39038]",0.098,0.074
ToeSegmentation1,[1385],[],[],0.667,0.5
ToeSegmentation2,[1543],"[1749, 2572, 2623]","[1798, 2621, 2672]",0.333,0.708
Trace,"[1443, 2955]",[],[],0.5,0.344
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
