dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[100, 220, 366, 509, 648, 791, 935, 1069, 1224, 1389, 1519, 1654, 1797, 1944, 2094, 2232, 2378, 2520, 2663, 2809, 2947, 3089, 3240]","[199, 319, 465, 608, 747, 890, 1034, 1168, 1323, 1488, 1618, 1753, 1896, 2043, 2193, 2331, 2477, 2619, 2762, 2908, 3046, 3188, 3339]",0.08,0.062
EEGRat,[1000],"[469, 520, 936]","[518, 569, 985]",0.333,0.704
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]",[],[],0.4,0.281
GrandMalSeizures2,[4550],"[8410, 8461, 8512]","[8459, 8510, 8561]",0.333,0.445
GreatBarbet1,"[1900, 3700]",[],[],0.5,0.355
Herring,[],[2228],[2277],0.667,0.554
InlineSkate,"[1058, 2704]","[50, 163, 298, 380, 433, 536, 587, 651, 703, 765, 820, 884, 935, 986, 1108, 1159, 1225, 1280, 1335, 1386, 1451, 1636, 1687, 1768, 1820, 1877, 1963, 2056, 2107, 2158, 2291, 2343, 2398, 2456, 2527, 2582, 2754, 2805, 2882, 2937, 3083, 3134, 3185, 3244, 3295, 3348, 3404, 3575, 3626, 3677, 3898, 3953, 4090, 4147, 4198, 4249, 4422, 4473, 4532]","[99, 212, 347, 429, 482, 585, 636, 700, 752, 814, 869, 933, 984, 1035, 1157, 1208, 1274, 1329, 1384, 1435, 1500, 1685, 1736, 1817, 1869, 1926, 2012, 2105, 2156, 2207, 2340, 2392, 2447, 2505, 2576, 2631, 2803, 2854, 2931, 2986, 3132, 3183, 3234, 3293, 3344, 3397, 3453, 3624, 3675, 3726, 3947, 4002, 4139, 4196, 4247, 4298, 4471, 4522, 4581]",0.032,0.126
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
NogunGun,[3000],[],[],0.667,0.518
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[],[],0.286,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[2542, 4183, 4270, 4457, 4516, 4567, 4696, 4749, 4807, 5090, 5147, 5235, 5288, 5361, 5420, 5484, 5545, 5610, 5670, 5743, 5800, 5867, 5928, 6001, 6058, 6126, 6187, 6253, 6311]","[2591, 4232, 4319, 4506, 4565, 4616, 4745, 4798, 4856, 5139, 5196, 5284, 5337, 5410, 5469, 5533, 5594, 5659, 5719, 5792, 5849, 5916, 5977, 6050, 6107, 6175, 6236, 6302, 6360]",0.171,0.413
TiltECG,[25000],[],[],0.667,0.531
ToeSegmentation1,[1385],[],[],0.667,0.5
ToeSegmentation2,[1543],[2612],[2661],0.5,0.469
Trace,"[1443, 2955]",[],[],0.5,0.344
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
