dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[100, 201, 302, 403, 504, 605, 706, 807, 918, 1019, 1120, 1221, 1322, 1423, 1524, 1632, 1733, 1834, 1935, 2036, 2137, 2238, 2346, 2447, 2548, 2649, 2750, 2851, 2952, 3053, 3154, 3255]","[199, 300, 401, 502, 603, 704, 805, 906, 1017, 1118, 1219, 1320, 1421, 1522, 1623, 1731, 1832, 1933, 2034, 2135, 2236, 2337, 2445, 2546, 2647, 2748, 2849, 2950, 3051, 3152, 3253, 3354]",0.059,0.058
EEGRat,[1000],"[63, 114, 165, 216, 269, 387, 438, 489, 561, 612, 663, 714, 765, 819, 874, 926, 977, 1028, 1111, 1247, 1298, 1360, 1411, 1464, 1519, 1621]","[112, 163, 214, 265, 318, 436, 487, 538, 610, 661, 712, 763, 814, 868, 923, 975, 1026, 1077, 1160, 1296, 1347, 1409, 1460, 1513, 1568, 1670]",0.069,0.248
EEGRat2,[1000],"[60, 111, 247, 298, 360, 411, 464, 519, 621, 980, 1050, 1288, 1411, 1462, 1536, 1605, 1927]","[109, 160, 296, 347, 409, 460, 513, 568, 670, 1029, 1099, 1337, 1460, 1511, 1585, 1654, 1976]",0.2,0.34
FaceFour,"[2800, 5600, 6650]","[250, 586, 930, 1290, 1646, 1975, 2314, 2661, 2978, 3229, 3480, 3731, 3982, 4233, 4872, 5123, 5499, 5997, 6290, 6541, 6899, 7250, 7704, 7955]","[499, 835, 1179, 1539, 1895, 2224, 2563, 2910, 3227, 3478, 3729, 3980, 4231, 4482, 5121, 5372, 5748, 6246, 6539, 6790, 7148, 7499, 7953, 8204]",0.069,0.216
GrandMalSeizures2,[4550],"[217, 665, 846, 898, 1139, 1245, 1940, 1992, 2242, 2293, 2371, 2448, 2553, 2766, 2817, 2868, 2919, 2971, 3205, 3256, 3308, 3380, 3433, 3567, 3618, 3756, 3851, 4018, 4127, 4178, 4252, 4315, 4380, 4446, 4497, 4548, 4599, 4650, 4703, 4782, 4833, 4884, 4935, 4994, 5068, 5164, 5252, 5310, 5361, 5412, 5463, 5514, 5578, 5730, 5840, 5895, 5955, 6011, 6072, 6127, 6186, 6243, 6294, 6345, 6397, 6448, 6499, 6550, 6601, 6652, 6703, 6754, 6825, 6878, 6933, 7000, 7054, 7105, 7156, 7207, 7258, 7333, 7384, 7461, 7520, 7571, 7627, 7699, 7750, 7801, 7855, 7917, 7968, 8019, 8074, 8128, 8179, 8230, 8325, 8384, 8436, 8490, 8546, 8597, 8669, 8720, 8771, 8822, 8873, 8924, 8975, 9027, 9078, 9129, 9204, 9255, 9306, 9357, 9408, 9463, 9514, 9604, 9657, 9708, 9759, 9810, 9861, 9912, 9963, 10014, 10075, 10142, 10193, 10260, 10343]","[266, 714, 895, 947, 1188, 1294, 1989, 2041, 2291, 2342, 2420, 2497, 2602, 2815, 2866, 2917, 2968, 3020, 3254, 3305, 3357, 3429, 3482, 3616, 3667, 3805, 3900, 4067, 4176, 4227, 4301, 4364, 4429, 4495, 4546, 4597, 4648, 4699, 4752, 4831, 4882, 4933, 4984, 5043, 5117, 5213, 5301, 5359, 5410, 5461, 5512, 5563, 5627, 5779, 5889, 5944, 6004, 6060, 6121, 6176, 6235, 6292, 6343, 6394, 6446, 6497, 6548, 6599, 6650, 6701, 6752, 6803, 6874, 6927, 6982, 7049, 7103, 7154, 7205, 7256, 7307, 7382, 7433, 7510, 7569, 7620, 7676, 7748, 7799, 7850, 7904, 7966, 8017, 8068, 8123, 8177, 8228, 8279, 8374, 8433, 8485, 8539, 8595, 8646, 8718, 8769, 8820, 8871, 8922, 8973, 9024, 9076, 9127, 9178, 9253, 9304, 9355, 9406, 9457, 9512, 9563, 9653, 9706, 9757, 9808, 9859, 9910, 9961, 10012, 10063, 10124, 10191, 10242, 10309, 10392]",0.029,0.081
GreatBarbet1,"[1900, 3700]","[1850, 2164]","[2099, 2413]",0.333,0.688
Herring,[],"[51, 114, 165, 216, 267, 325, 376, 427, 478, 546, 597, 648, 699, 770, 821, 897, 948, 1014, 1065, 1116, 1167, 1230, 1283, 1345, 1396, 1447, 1498, 1549, 1622, 1673, 1736, 1793, 1844, 1922, 1973, 2037, 2088, 2139, 2190, 2241, 2304, 2355, 2434, 2485, 2561, 2612, 2690, 2741, 2818, 2869, 2920, 2971, 3027, 3078, 3129, 3201, 3252, 3330, 3381, 3458, 3509, 3585, 3636, 3713, 3764, 3842, 3893, 3970, 4021, 4098, 4149, 4226, 4277, 4354, 4405, 4483, 4534, 4595, 4646, 4697, 4748, 4822, 4873, 4924]","[100, 163, 214, 265, 316, 374, 425, 476, 527, 595, 646, 697, 748, 819, 870, 946, 997, 1063, 1114, 1165, 1216, 1279, 1332, 1394, 1445, 1496, 1547, 1598, 1671, 1722, 1785, 1842, 1893, 1971, 2022, 2086, 2137, 2188, 2239, 2290, 2353, 2404, 2483, 2534, 2610, 2661, 2739, 2790, 2867, 2918, 2969, 3020, 3076, 3127, 3178, 3250, 3301, 3379, 3430, 3507, 3558, 3634, 3685, 3762, 3813, 3891, 3942, 4019, 4070, 4147, 4198, 4275, 4326, 4403, 4454, 4532, 4583, 4644, 4695, 4746, 4797, 4871, 4922, 4973]",0.023,0.016
InlineSkate,"[1058, 2704]","[50, 101, 152, 203, 254, 305, 356, 412, 464, 515, 566, 617, 668, 719, 770, 821, 872, 923, 974, 1025, 1076, 1127, 1178, 1229, 1280, 1331, 1382, 1433, 1484, 1535, 1586, 1637, 1688, 1739, 1790, 1841, 1892, 1943, 1994, 2045, 2096, 2147, 2198, 2249, 2300, 2351, 2402, 2453, 2504, 2555, 2606, 2657, 2708, 2759, 2810, 2861, 2912, 2963, 3014, 3065, 3116, 3167, 3218, 3269, 3320, 3371, 3422, 3473, 3524, 3575, 3626, 3677, 3728, 3779, 3830, 3881, 3932, 3983, 4034, 4085, 4136, 4187, 4238, 4289, 4340, 4391, 4442, 4495, 4546, 4597, 4648, 4699, 4750]","[99, 150, 201, 252, 303, 354, 405, 461, 513, 564, 615, 666, 717, 768, 819, 870, 921, 972, 1023, 1074, 1125, 1176, 1227, 1278, 1329, 1380, 1431, 1482, 1533, 1584, 1635, 1686, 1737, 1788, 1839, 1890, 1941, 1992, 2043, 2094, 2145, 2196, 2247, 2298, 2349, 2400, 2451, 2502, 2553, 2604, 2655, 2706, 2757, 2808, 2859, 2910, 2961, 3012, 3063, 3114, 3165, 3216, 3267, 3318, 3369, 3420, 3471, 3522, 3573, 3624, 3675, 3726, 3777, 3828, 3879, 3930, 3981, 4032, 4083, 4134, 4185, 4236, 4287, 4338, 4389, 4440, 4491, 4544, 4595, 4646, 4697, 4748, 4799]",0.062,0.037
InsectEPG1,[3802],"[475, 748, 1397, 1648, 2300, 2744, 3192, 3445, 3721, 3987, 4372, 4623, 4874, 5191, 6096, 7955, 9581, 11254]","[724, 997, 1646, 1897, 2549, 2993, 3441, 3694, 3970, 4236, 4621, 4872, 5123, 5440, 6345, 8204, 9830, 11503]",0.19,0.376
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
