dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[100, 201, 302, 403, 504, 605, 706, 807, 921, 1022, 1123, 1224, 1325, 1426, 1527, 1635, 1736, 1837, 1938, 2039, 2140, 2241, 2363, 2464, 2565, 2666, 2790, 2891, 2992, 3093, 3194, 3295]","[199, 300, 401, 502, 603, 704, 805, 906, 1020, 1121, 1222, 1323, 1424, 1525, 1626, 1734, 1835, 1936, 2037, 2138, 2239, 2340, 2462, 2563, 2664, 2765, 2889, 2990, 3091, 3192, 3293, 3394]",0.059,0.047
EEGRat,[1000],"[77, 131, 182, 233, 284, 391, 450, 501, 564, 615, 666, 727, 878, 929, 993, 1068, 1126, 1219, 1364, 1520]","[126, 180, 231, 282, 333, 440, 499, 550, 613, 664, 715, 776, 927, 978, 1042, 1117, 1175, 1268, 1413, 1569]",0.174,0.316
EEGRat2,[1000],"[68, 126, 219, 364, 520, 997, 1112, 1486]","[117, 175, 268, 413, 569, 1046, 1161, 1535]",0.364,0.496
FaceFour,"[2800, 5600, 6650]","[3186, 3483, 3887, 4152]","[3435, 3732, 4136, 4401]",0.222,0.496
GrandMalSeizures2,[4550],"[2847, 2919, 2971, 3253, 3346, 4210, 4452, 4560, 4611, 4662, 4713, 4807, 4860, 4911, 4962, 5021, 5075, 5361, 5412, 5844, 5898, 5958, 6078, 6129, 6188, 6280, 6339, 6397, 6448, 6499, 6550, 6601, 6652, 6703, 6754, 6889, 6940, 7008, 7061, 7118, 7169, 7220, 7271, 7329, 7415, 7466, 7571, 7627, 7703, 7798, 7957, 8030, 8081, 8132, 8212, 8263, 8354, 8405, 8456, 8507, 8562, 8742, 8821, 8872, 8924, 8975, 9027, 9078, 9129, 9256, 9307, 9358, 9512, 9605, 9710, 9761, 9812, 9870, 9929, 9981, 10034, 10174, 10225, 10276, 10350]","[2896, 2968, 3020, 3302, 3395, 4259, 4501, 4609, 4660, 4711, 4762, 4856, 4909, 4960, 5011, 5070, 5124, 5410, 5461, 5893, 5947, 6007, 6127, 6178, 6237, 6329, 6388, 6446, 6497, 6548, 6599, 6650, 6701, 6752, 6803, 6938, 6989, 7057, 7110, 7167, 7218, 7269, 7320, 7378, 7464, 7515, 7620, 7676, 7752, 7847, 8006, 8079, 8130, 8181, 8261, 8312, 8403, 8454, 8505, 8556, 8611, 8791, 8870, 8921, 8973, 9024, 9076, 9127, 9178, 9305, 9356, 9407, 9561, 9654, 9759, 9810, 9861, 9919, 9978, 10030, 10083, 10223, 10274, 10325, 10399]",0.045,0.314
GreatBarbet1,"[1900, 3700]","[1850, 2161]","[2099, 2410]",0.333,0.688
Herring,[],"[66, 172, 325, 428, 551, 711, 811, 963, 1067, 1194, 1346, 1397, 1484, 1576, 1709, 1833, 1989, 2091, 2218, 2304, 2355, 2477, 2604, 2758, 2857, 2984, 3112, 3241, 3375, 3528, 3627, 3755, 3882, 4011, 4139, 4294, 4394, 4549, 4650, 4778, 4907]","[115, 221, 374, 477, 600, 760, 860, 1012, 1116, 1243, 1395, 1446, 1533, 1625, 1758, 1882, 2038, 2140, 2267, 2353, 2404, 2526, 2653, 2807, 2906, 3033, 3161, 3290, 3424, 3577, 3676, 3804, 3931, 4060, 4188, 4343, 4443, 4598, 4699, 4827, 4956]",0.047,0.032
InlineSkate,"[1058, 2704]","[50, 101, 152, 209, 260, 311, 374, 425, 525, 576, 642, 693, 758, 809, 876, 927, 978, 1029, 1101, 1152, 1208, 1272, 1323, 1374, 1432, 1483, 1534, 1585, 1636, 1687, 1738, 1809, 1867, 1918, 1969, 2020, 2071, 2122, 2173, 2228, 2279, 2330, 2382, 2445, 2518, 2574, 2641, 2703, 2754, 2805, 2871, 2928, 3019, 3070, 3121, 3172, 3234, 3285, 3336, 3391, 3516, 3567, 3618, 3669, 3816, 3872, 3943, 3994, 4045, 4096, 4147, 4198, 4249, 4300, 4351, 4412, 4463, 4514, 4578, 4664, 4715, 4766]","[99, 150, 201, 258, 309, 360, 423, 474, 574, 625, 691, 742, 807, 858, 925, 976, 1027, 1078, 1150, 1201, 1257, 1321, 1372, 1423, 1481, 1532, 1583, 1634, 1685, 1736, 1787, 1858, 1916, 1967, 2018, 2069, 2120, 2171, 2222, 2277, 2328, 2379, 2431, 2494, 2567, 2623, 2690, 2752, 2803, 2854, 2920, 2977, 3068, 3119, 3170, 3221, 3283, 3334, 3385, 3440, 3565, 3616, 3667, 3718, 3865, 3921, 3992, 4043, 4094, 4145, 4196, 4247, 4298, 4349, 4400, 4461, 4512, 4563, 4627, 4713, 4764, 4815]",0.07,0.066
InsectEPG1,[3802],"[506, 910, 1693, 3266, 3517, 4032, 4339, 4594, 4845, 5207, 6096, 7968, 9582]","[755, 1159, 1942, 3515, 3766, 4281, 4588, 4843, 5094, 5456, 6345, 8217, 9831]",0.125,0.529
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
NogunGun,[3000],"[816, 2766]","[1565, 3515]",0.4,0.828
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[],[],0.286,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[93, 144, 218, 269, 347, 398, 473, 524, 599, 650, 728, 779, 860, 967, 1028, 1116, 1167, 1371, 1442, 1600, 1753, 1858, 1970, 2021, 2089, 2241, 2292, 2343, 2394, 2456, 2507, 2558, 2626, 2677, 2761, 2888, 3142, 3193, 3268, 3319, 3397, 3567, 3657, 3780, 3851, 3919, 3970, 4022, 4073, 4124, 4175, 4228, 4279, 4330, 4432, 4487, 4538, 4589, 4650, 4701, 4752, 4803, 4854, 4941, 4994, 5045, 5096, 5147, 5198, 5249, 5300, 5352, 5410, 5477, 5535, 5586, 5637, 5688, 5739, 5790, 5856, 5907, 5958, 6009, 6060, 6117, 6180, 6239, 6290, 6341]","[142, 193, 267, 318, 396, 447, 522, 573, 648, 699, 777, 828, 909, 1016, 1077, 1165, 1216, 1420, 1491, 1649, 1802, 1907, 2019, 2070, 2138, 2290, 2341, 2392, 2443, 2505, 2556, 2607, 2675, 2726, 2810, 2937, 3191, 3242, 3317, 3368, 3446, 3616, 3706, 3829, 3900, 3968, 4019, 4071, 4122, 4173, 4224, 4277, 4328, 4379, 4481, 4536, 4587, 4638, 4699, 4750, 4801, 4852, 4903, 4990, 5043, 5094, 5145, 5196, 5247, 5298, 5349, 5401, 5459, 5526, 5584, 5635, 5686, 5737, 5788, 5839, 5905, 5956, 6007, 6058, 6109, 6166, 6229, 6288, 6339, 6390]",0.083,0.108
TiltECG,[25000],"[24091, 26343, 27852, 29174, 32705, 33902]","[25090, 27342, 28851, 30173, 33704, 34901]",0.222,0.755
ToeSegmentation1,[1385],"[111, 162, 340, 400, 500, 604, 663, 714, 779, 889, 1128, 1179, 1347, 1398, 1459, 1510, 1590, 1641, 1702, 1753, 1887, 1961, 2133, 2240, 2311, 2393]","[160, 211, 389, 449, 549, 653, 712, 763, 828, 938, 1177, 1228, 1396, 1447, 1508, 1559, 1639, 1690, 1751, 1802, 1936, 2010, 2182, 2289, 2360, 2442]",0.138,0.222
ToeSegmentation2,[1543],"[52, 103, 154, 218, 269, 320, 372, 435, 487, 546, 615, 666, 717, 814, 886, 951, 1002, 1053, 1104, 1155, 1261, 1318, 1435, 1523, 1576, 1667, 1743, 1822, 1908, 1994, 2071, 2188, 2239, 2305, 2356, 2413, 2500, 2551, 2602, 2659, 2720, 2771, 2883, 3008]","[101, 152, 203, 267, 318, 369, 421, 484, 536, 595, 664, 715, 766, 863, 935, 1000, 1051, 1102, 1153, 1204, 1310, 1367, 1484, 1572, 1625, 1716, 1792, 1871, 1957, 2043, 2120, 2237, 2288, 2354, 2405, 2462, 2549, 2600, 2651, 2708, 2769, 2820, 2932, 3057]",0.085,0.078
Trace,"[1443, 2955]","[3046, 3297, 3548, 4322, 4679]","[3295, 3546, 3797, 4571, 4928]",0.222,0.434
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
WordSynonyms,"[202, 2227]","[192, 668, 1167, 1576, 1677]","[241, 717, 1216, 1625, 1726]",0.444,0.309
Yoga,[7295],"[705, 2115, 2166, 2221, 2327, 2798, 3127, 3333, 3384, 3929, 5786, 6372, 7374, 7489, 7541, 7811, 9515, 10050, 10101, 10365, 10474, 10525, 10578, 11696, 13506, 13559, 13773, 14499, 15000, 15848]","[754, 2164, 2215, 2270, 2376, 2847, 3176, 3382, 3433, 3978, 5835, 6421, 7423, 7538, 7590, 7860, 9564, 10099, 10150, 10414, 10523, 10574, 10627, 11745, 13555, 13608, 13822, 14548, 15049, 15897]",0.121,0.23
